tick,pop,farms_built,avg_energy
319,160,0,289.2
320,160,0,287.0
321,160,0,287.9
322,160,0,289.1
323,160,0,286.4
324,160,0,286.0
325,160,0,288.2
326,160,0,286.1
327,160,0,286.8
328,160,0,283.9
329,160,0,285.5
330,160,0,284.9
331,160,0,285.1
332,160,0,283.8
333,160,0,284.9
334,160,0,284.5
335,160,0,283.4
336,160,0,281.8
337,160,0,282.8
338,160,0,283.3
339,160,0,281.8
340,160,0,280.6
341,160,0,281.9
342,160,0,281.1
343,160,0,281.0
344,160,0,280.1
345,160,0,281.0
346,160,0,278.9
347,160,0,279.0
348,160,0,277.9
349,160,0,279.4
350,160,0,278.0
351,160,0,278.5
352,160,0,277.6
353,160,0,278.7
354,160,0,277.3
355,160,0,277.4
356,160,0,277.3
357,160,0,276.6
358,160,0,275.5
359,160,0,275.8
360,160,0,274.9
361,160,0,276.1
362,160,0,274.8
363,160,0,274.8
364,160,0,275.5
365,160,0,274.2
366,160,0,274.1
367,160,0,274.1
368,160,0,272.6
369,160,0,272.2
370,160,0,274.1
371,160,0,272.2
372,160,0,273.7
373,160,0,271.3
374,160,0,271.7
375,160,0,271.1
376,160,0,271.2
377,160,0,272.1
378,160,0,270.1
379,160,0,269.9
380,160,0,270.2
381,160,0,269.1
382,160,0,269.0
383,160,0,268.1
384,160,0,268.9
385,160,0,267.7
386,160,0,267.1
387,160,0,268.0
388,160,0,266.5
389,160,0,267.3
390,160,0,267.3
391,160,0,265.9
392,160,0,265.5
393,160,0,266.1
394,160,0,265.5
395,160,0,265.2
396,160,0,265.8
397,160,0,264.4
398,160,0,264.3
399,160,0,263.6
400,160,0,262.7
401,160,0,263.7
402,160,0,262.8
403,160,0,263.0
404,160,0,262.7
405,160,0,261.3
406,160,0,262.7
407,160,0,260.8
408,160,0,260.3
409,160,0,260.9
410,160,0,260.5
411,160,0,259.3
412,160,0,260.4
413,160,0,259.6
414,160,0,258.6
415,160,0,258.5
416,160,0,258.7
417,160,0,258.3
418,160,0,257.7
419,160,0,256.6
420,160,0,256.6
421,160,0,257.0
422,160,0,255.7
423,160,0,255.2
424,160,0,256.2
425,160,0,254.9
426,160,0,254.9
427,160,0,253.5
428,160,0,254.7
429,160,0,253.2
430,160,0,254.6
431,160,0,253.4
432,160,0,252.9
433,160,0,252.3
434,160,0,251.4
435,160,0,252.1
436,160,0,252.2
437,160,0,251.5
438,160,0,252.0
439,160,0,249.6
440,160,0,250.4
441,160,0,251.2
442,160,0,250.1
443,160,0,250.1
444,160,0,249.3
445,160,0,248.8
446,160,0,249.2
447,160,0,248.3
448,160,0,248.1
449,160,0,247.9
450,160,0,247.1
451,160,0,247.9
452,160,0,247.4
453,160,0,246.2
454,160,0,246.1
455,160,0,246.5
456,160,0,246.2
457,160,0,244.0
458,160,0,245.6
459,160,0,244.8
460,160,0,245.2
461,160,0,245.0
462,160,0,243.5
463,160,0,243.2
464,160,0,243.5
465,160,0,242.1
466,160,0,242.6
467,160,0,242.6
468,160,0,242.1
469,160,0,242.6
470,160,0,242.4
471,160,0,241.2
472,160,0,240.9
473,160,0,239.3
474,160,0,240.3
475,160,0,240.1
476,160,0,240.6
477,160,0,239.9
478,160,0,239.7
479,160,0,239.5
480,160,0,237.8
481,160,0,238.6
482,160,0,236.6
483,160,0,238.6
484,160,0,236.6
485,160,0,237.2
486,160,0,236.8
487,160,0,236.6
488,160,0,237.0
489,160,0,235.3
490,160,0,235.2
491,160,0,235.4
492,160,0,235.2
493,160,0,235.7
494,160,0,234.4
495,160,0,234.1
496,160,0,233.8
497,160,0,233.6
498,160,0,233.4
499,160,0,232.8
500,160,0,232.2
501,160,0,232.7
502,160,0,232.5
503,160,0,232.2
504,160,0,232.5
505,160,0,232.4
506,160,0,231.1
507,160,0,230.4
508,160,0,231.1
509,160,0,232.1
510,160,0,229.5
511,160,0,230.0
512,160,0,230.3
513,160,0,229.8
514,160,0,228.7
515,160,0,229.5
516,160,0,228.9
517,160,0,228.1
518,160,0,228.4
519,160,0,229.2
520,160,0,228.5
521,160,0,226.8
522,160,0,226.7
523,160,0,227.1
524,160,0,227.5
525,160,0,226.7
526,160,0,227.2
527,160,0,225.5
528,160,0,225.5
529,160,0,225.4
530,160,0,224.3
531,160,0,224.7
532,160,0,224.5
533,160,0,224.1
534,160,0,223.8
535,160,0,223.1
536,160,0,223.2
537,160,0,224.1
538,160,0,222.4
539,160,0,222.1
540,160,0,221.4
541,160,0,221.3
542,160,0,221.7
543,160,0,220.5
544,160,0,220.4
545,160,0,220.1
546,160,0,219.7
547,160,0,219.1
548,160,0,219.3
549,160,0,218.4
550,160,0,218.3
551,160,0,218.6
552,160,0,217.8
553,160,0,218.2
554,160,0,217.1
555,160,0,217.0
556,160,0,216.0
557,160,0,217.1
558,160,0,215.6
559,160,0,216.0
560,160,0,215.2
561,160,0,215.7
562,160,0,214.9
563,160,0,215.4
564,160,0,213.7
565,160,0,214.5
566,160,0,213.7
567,160,0,214.0
568,160,0,213.0
569,160,0,213.2
570,160,0,212.1
571,160,0,212.3
572,160,0,212.5
573,160,0,211.6
574,160,0,211.2
575,160,0,210.8
576,160,0,210.3
577,160,0,210.9
578,160,0,209.6
579,160,0,210.3
580,160,0,209.2
581,160,0,210.0
582,160,0,208.7
583,160,0,208.9
584,160,0,207.7
585,160,0,209.0
586,160,0,208.6
587,160,0,208.1
588,160,0,207.9
589,160,0,205.9
590,160,0,206.6
591,160,0,206.6
592,160,0,206.0
593,160,0,205.6
594,160,0,205.8
595,160,0,205.5
596,160,0,204.1
597,160,0,204.8
598,160,0,204.5
599,160,0,205.2
600,160,0,203.4
601,160,0,203.2
602,160,0,203.3
603,160,0,203.5
604,160,0,202.6
605,160,0,202.6
606,160,0,202.1
607,160,0,201.9
608,160,0,201.3
609,160,0,201.9
610,160,0,200.3
611,160,0,200.9
612,160,0,200.4
613,160,0,200.1
614,160,0,200.2
615,160,0,199.3
616,160,0,199.5
617,160,0,199.2
618,160,0,198.5
619,160,0,199.5
620,160,0,198.2
621,160,0,198.6
622,160,0,197.3
623,160,0,196.8
624,160,0,197.9
625,160,0,196.8
626,160,0,197.4
627,160,0,196.2
628,160,0,196.1
629,160,0,196.5
630,160,0,195.5
631,160,0,195.5
632,160,0,194.8
633,160,0,195.7
634,160,0,193.9
635,160,0,194.1
636,160,0,194.4
637,160,0,193.0
638,160,0,193.4
639,160,0,193.3
640,160,0,193.1
641,160,0,193.5
642,160,0,192.6
643,160,0,191.9
644,160,0,192.2
645,160,0,191.5
646,160,0,192.3
647,160,0,191.5
648,160,0,191.4
649,160,0,190.6
650,160,0,191.1
651,160,0,190.7
652,160,0,190.6
653,160,0,189.9
654,160,0,189.0
655,160,0,189.8
656,160,0,189.4
657,160,0,189.2
658,160,0,188.5
659,160,0,188.7
660,160,0,188.9
661,160,0,188.1
662,160,0,187.7
663,160,0,187.1
664,160,0,187.3
665,160,0,186.4
666,160,0,186.8
667,160,0,186.9
668,160,0,186.4
669,160,0,186.2
670,160,0,185.2
671,160,0,185.9
672,160,0,185.9
673,160,0,185.4
674,160,0,185.5
675,160,0,185.1
676,160,0,184.2
677,160,0,184.2
678,160,0,184.4
679,160,0,183.9
680,160,0,183.8
681,160,0,183.4
682,160,0,182.9
683,160,0,183.0
684,160,0,183.0
685,160,0,182.4
686,160,0,182.9
687,160,0,182.2
688,160,0,181.4
689,160,0,181.6
690,160,0,180.9
691,160,0,181.0
692,160,0,180.9
693,160,0,180.4
694,160,0,180.4
695,160,0,179.8
696,160,0,179.8
697,160,0,179.2
698,160,0,179.3
699,160,0,179.2
700,160,0,178.5
701,160,0,179.0
702,160,0,178.3
703,160,0,177.4
704,160,0,178.0
705,160,0,177.3
706,160,0,177.2
707,160,0,177.7
708,160,0,177.0
709,160,0,177.0
710,160,0,176.2
711,160,0,176.2
712,160,0,176.2
713,160,0,175.5
714,160,0,175.4
715,160,0,175.4
716,160,0,174.7
717,160,0,174.6
718,160,0,174.4
719,160,0,174.9
720,160,0,174.1
721,160,0,173.5
722,160,0,173.5
723,160,0,172.9
724,160,0,172.7
725,160,0,173.2
726,160,0,173.5
727,160,0,172.2
728,160,0,172.2
729,160,0,172.0
730,160,0,171.3
731,160,0,171.7
732,160,0,171.5
733,160,0,171.3
734,160,0,171.1
735,160,0,170.0
736,160,0,170.4
737,160,0,169.7
738,160,0,169.6
739,160,0,170.0
740,160,0,169.8
741,160,0,169.0
742,160,0,169.3
743,160,0,169.2
744,160,0,168.4
745,160,0,168.2
746,160,0,168.6
747,160,0,167.7
748,160,0,168.1
749,160,0,167.9
750,160,0,167.6
751,160,0,166.9
752,160,0,167.2
753,160,0,166.4
754,160,0,166.2
755,160,0,166.6
756,160,0,166.2
757,160,0,166.0
758,160,0,165.7
759,160,0,165.4
760,160,0,165.7
761,160,0,165.0
762,160,0,164.2
763,160,0,164.5
764,160,0,164.8
765,160,0,163.9
766,160,0,163.7
767,160,0,164.0
768,160,0,163.7
769,160,0,163.4
770,160,0,163.1
771,160,0,162.8
772,160,0,163.1
773,160,0,162.3
774,160,0,161.5
775,160,0,161.9
776,160,0,162.2
777,160,0,161.3
