tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_prey_eff,avg_pred_eff
106,195,50,0.5365,0.4952,0.9494,0.4959
107,193,50,0.5480,0.4952,0.9484,0.4959
108,198,50,0.5467,0.4952,0.9492,0.4959
109,194,50,0.5514,0.4952,0.9520,0.4959
110,194,50,0.5497,0.4952,0.9508,0.4959
111,195,50,0.5552,0.4952,0.9539,0.4959
112,193,50,0.5547,0.4952,0.9538,0.4959
113,196,50,0.5502,0.4952,0.9526,0.4959
114,195,50,0.5520,0.4952,0.9541,0.4959
115,194,50,0.5527,0.4952,0.9593,0.4959
116,195,50,0.5475,0.4952,0.9583,0.4959
117,198,50,0.5509,0.4952,0.9580,0.4959
118,189,50,0.5494,0.4952,0.9567,0.4959
119,197,50,0.5537,0.4952,0.9554,0.4959
120,196,50,0.5560,0.4952,0.9594,0.4959
121,198,50,0.5561,0.4952,0.9588,0.4959
122,196,50,0.5534,0.4952,0.9595,0.4959
123,196,50,0.5537,0.4952,0.9592,0.4959
124,192,50,0.5510,0.4952,0.9593,0.4959
125,195,50,0.5529,0.4952,0.9619,0.4959
126,197,50,0.5482,0.4952,0.9616,0.4959
127,191,50,0.5485,0.4952,0.9627,0.4959
128,196,50,0.5530,0.4952,0.9597,0.4959
129,198,50,0.5580,0.4952,0.9614,0.4959
130,194,50,0.5575,0.4952,0.9583,0.4959
131,195,50,0.5588,0.4952,0.9582,0.4959
132,193,50,0.5630,0.4952,0.9571,0.4959
133,194,50,0.5623,0.4952,0.9549,0.4959
134,193,50,0.5536,0.4952,0.9529,0.4959
135,199,50,0.5541,0.4952,0.9498,0.4959
136,196,50,0.5568,0.4952,0.9500,0.4959
137,192,50,0.5572,0.4952,0.9497,0.4959
138,193,50,0.5564,0.4952,0.9508,0.4959
139,196,50,0.5582,0.4952,0.9522,0.4959
140,195,50,0.5624,0.4952,0.9520,0.4959
141,196,50,0.5598,0.4952,0.9515,0.4959
142,193,50,0.5617,0.4952,0.9480,0.4959
143,196,50,0.5541,0.4952,0.9516,0.4959
144,198,50,0.5508,0.4952,0.9502,0.4959
145,196,50,0.5543,0.4952,0.9520,0.4959
146,198,50,0.5575,0.4952,0.9512,0.4959
147,197,50,0.5569,0.4952,0.9495,0.4959
148,197,50,0.5552,0.4952,0.9480,0.4959
149,189,50,0.5558,0.4952,0.9445,0.4959
150,194,50,0.5537,0.4952,0.9460,0.4959
151,195,50,0.5486,0.4952,0.9485,0.4959
152,193,50,0.5502,0.4952,0.9493,0.4959
153,194,50,0.5465,0.4952,0.9463,0.4959
154,196,50,0.5484,0.4952,0.9482,0.4959
155,194,50,0.5475,0.4952,0.9479,0.4959
156,197,50,0.5462,0.4952,0.9491,0.4959
157,195,50,0.5452,0.4952,0.9519,0.4959
158,189,50,0.5484,0.4952,0.9498,0.4959
159,191,50,0.5558,0.4952,0.9497,0.4959
160,194,50,0.5606,0.4952,0.9481,0.4959
161,196,50,0.5608,0.4952,0.9501,0.4959
162,196,50,0.5603,0.4952,0.9546,0.4959
163,195,50,0.5659,0.4952,0.9556,0.4959
164,196,50,0.5665,0.4952,0.9560,0.4959
165,199,50,0.5690,0.4952,0.9545,0.4959
166,192,50,0.5709,0.4952,0.9570,0.4959
167,196,50,0.5723,0.4952,0.9586,0.4959
168,196,50,0.5662,0.4952,0.9599,0.4959
169,198,50,0.5640,0.4952,0.9585,0.4959
170,197,50,0.5663,0.4952,0.9587,0.4959
171,197,50,0.5696,0.4952,0.9619,0.4959
172,197,50,0.5714,0.4952,0.9647,0.4959
173,194,50,0.5739,0.4952,0.9629,0.4959
174,193,50,0.5786,0.4952,0.9633,0.4959
175,194,50,0.5761,0.4952,0.9631,0.4959
176,195,50,0.5745,0.4952,0.9621,0.4959
177,196,50,0.5733,0.4952,0.9597,0.4959
178,197,50,0.5756,0.4952,0.9613,0.4959
179,197,50,0.5756,0.4952,0.9629,0.4959
180,193,50,0.5805,0.4952,0.9637,0.4959
181,195,50,0.5842,0.4952,0.9646,0.4959
182,196,50,0.5881,0.4952,0.9659,0.4959
183,195,50,0.5939,0.4952,0.9670,0.4959
184,195,50,0.5974,0.4952,0.9699,0.4959
185,190,50,0.6048,0.4952,0.9746,0.4959
186,198,50,0.6112,0.4952,0.9776,0.4959
187,197,50,0.6112,0.4952,0.9794,0.4959
188,191,50,0.6136,0.4952,0.9815,0.4959
189,199,50,0.6138,0.4952,0.9823,0.4959
190,198,50,0.6128,0.4952,0.9836,0.4959
191,194,50,0.6189,0.4952,0.9846,0.4959
192,195,50,0.6228,0.4952,0.9870,0.4959
193,194,50,0.6251,0.4952,0.9864,0.4959
194,197,50,0.6244,0.4952,0.9889,0.4959
195,195,50,0.6261,0.4952,0.9907,0.4959
196,196,50,0.6302,0.4952,0.9876,0.4959
197,194,50,0.6303,0.4952,0.9933,0.4959
198,193,50,0.6268,0.4952,0.9910,0.4959
199,193,50,0.6249,0.4952,0.9899,0.4959
200,196,50,0.6268,0.4952,0.9910,0.4959
201,194,50,0.6307,0.4952,0.9953,0.4959
202,188,50,0.6335,0.4952,0.9969,0.4959
203,194,50,0.6239,0.4952,0.9970,0.4959
204,194,50,0.6218,0.4952,0.9978,0.4959
205,194,50,0.6235,0.4952,0.9970,0.4959
206,198,50,0.6193,0.4952,1.0001,0.4959
207,196,50,0.6185,0.4952,1.0005,0.4959
208,197,50,0.6167,0.4952,1.0044,0.4959
209,198,50,0.6141,0.4952,1.0060,0.4959
210,197,50,0.6220,0.4952,1.0066,0.4959
211,191,50,0.6150,0.4952,1.0094,0.4959
212,195,50,0.6126,0.4952,1.0144,0.4959
213,193,50,0.6141,0.4952,1.0159,0.4959
214,192,50,0.6216,0.4952,1.0176,0.4959
215,196,50,0.6156,0.4952,1.0222,0.4959
216,196,50,0.6118,0.4952,1.0196,0.4959
217,197,50,0.6110,0.4952,1.0184,0.4959
218,196,50,0.6112,0.4952,1.0191,0.4959
219,196,50,0.6143,0.4952,1.0212,0.4959
220,193,50,0.6176,0.4952,1.0212,0.4959
221,198,50,0.6182,0.4952,1.0270,0.4959
222,197,50,0.6186,0.4952,1.0309,0.4959
223,198,50,0.6074,0.4952,1.0278,0.4959
224,196,50,0.6045,0.4952,1.0315,0.4959
225,193,50,0.5986,0.4952,1.0310,0.4959
226,195,50,0.5938,0.4952,1.0296,0.4959
227,198,50,0.5946,0.4952,1.0294,0.4959
228,194,50,0.5955,0.4952,1.0317,0.4959
229,197,50,0.6003,0.4952,1.0332,0.4959
230,194,50,0.6074,0.4952,1.0368,0.4959
231,196,50,0.6093,0.4952,1.0380,0.4959
232,196,50,0.6126,0.4952,1.0395,0.4959
