tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
122,198,20,0.8726,0.4947,0.8672,0.5181
123,198,20,0.8724,0.4941,0.8672,0.5181
124,196,20,0.8714,0.4929,0.8672,0.5181
125,195,20,0.8713,0.4928,0.8672,0.5181
126,193,20,0.8697,0.4962,0.8672,0.5181
127,195,20,0.8672,0.4976,0.8672,0.5181
128,195,20,0.8704,0.4998,0.8672,0.5181
129,194,20,0.8681,0.4990,0.8672,0.5181
130,197,20,0.8677,0.4982,0.8672,0.5181
131,196,20,0.8688,0.4986,0.8672,0.5181
132,196,20,0.8721,0.5039,0.8672,0.5181
133,196,20,0.8739,0.5024,0.8672,0.5181
134,197,20,0.8762,0.5033,0.8672,0.5181
135,197,20,0.8765,0.5040,0.8672,0.5181
136,197,20,0.8760,0.5013,0.8672,0.5181
137,198,20,0.8773,0.4970,0.8672,0.5181
138,197,20,0.8778,0.4974,0.8672,0.5181
139,197,20,0.8779,0.4947,0.8672,0.5181
140,197,20,0.8780,0.4957,0.8672,0.5181
141,194,20,0.8773,0.4928,0.8672,0.5181
142,197,20,0.8799,0.4961,0.8672,0.5181
143,197,20,0.8813,0.4937,0.8672,0.5181
144,197,20,0.8807,0.4868,0.8672,0.5181
145,197,20,0.8814,0.4915,0.8672,0.5181
146,191,20,0.8795,0.4922,0.8672,0.5181
147,197,20,0.8839,0.4919,0.8672,0.5181
148,195,20,0.8835,0.4914,0.8672,0.5181
149,196,20,0.8834,0.4911,0.8672,0.5181
150,197,20,0.8865,0.4898,0.8672,0.5181
151,193,20,0.8894,0.4951,0.8672,0.5181
152,195,20,0.8897,0.4919,0.8672,0.5181
153,193,20,0.8918,0.4892,0.8672,0.5181
154,194,20,0.8865,0.4923,0.8672,0.5181
155,198,20,0.8868,0.4938,0.8672,0.5181
156,196,20,0.8871,0.4933,0.8672,0.5181
157,198,20,0.8882,0.4974,0.8672,0.5181
158,194,20,0.8906,0.4976,0.8672,0.5181
159,195,20,0.8909,0.4997,0.8672,0.5181
160,196,20,0.8963,0.5008,0.8672,0.5181
161,197,20,0.8947,0.5000,0.8672,0.5181
162,192,20,0.8972,0.4998,0.8672,0.5181
163,194,20,0.9010,0.5049,0.8672,0.5181
164,198,20,0.8976,0.5050,0.8672,0.5181
165,195,20,0.8982,0.5075,0.8672,0.5181
166,197,20,0.8993,0.5111,0.8672,0.5181
167,193,20,0.8991,0.5101,0.8672,0.5181
168,194,20,0.8979,0.5026,0.8672,0.5181
169,196,20,0.9014,0.5045,0.8672,0.5181
170,198,20,0.9000,0.5069,0.8672,0.5181
171,195,20,0.8998,0.5116,0.8672,0.5181
172,198,20,0.8997,0.5115,0.8672,0.5181
173,195,20,0.9038,0.5135,0.8672,0.5181
