tick,pop,avg_energy,avg_cannibalism,cannibal_acts
1495,199,213.9,0.0631,0
1496,200,212.0,0.0629,0
1497,198,210.9,0.0633,0
1498,199,211.4,0.0625,0
1499,200,209.5,0.0627,0
1500,198,208.4,0.0624,0
1501,199,208.9,0.0618,0
1502,198,209.2,0.0614,0
1503,200,208.6,0.0615,0
1504,198,207.5,0.0601,0
1505,200,207.0,0.0601,0
1506,200,203.8,0.0601,0
1507,200,200.7,0.0601,0
1508,200,197.5,0.0601,0
1509,200,194.4,0.0601,0
1510,199,192.3,0.0602,0
1511,200,190.7,0.0601,0
1512,199,188.6,0.0604,0
1513,199,187.9,0.0599,0
1514,200,186.3,0.0598,0
1515,200,183.3,0.0598,0
1516,199,181.2,0.0595,0
1517,200,179.7,0.0592,0
1518,198,178.6,0.0596,0
1519,199,179.4,0.0598,0
1520,199,178.9,0.0596,0
1521,199,178.3,0.0602,0
1522,200,176.8,0.0604,0
1523,200,173.9,0.0604,0
1524,198,172.7,0.0603,0
1525,200,172.8,0.0598,0
1526,198,171.6,0.0600,0
1527,200,171.7,0.0605,0
1528,200,168.7,0.0605,0
1529,198,167.5,0.0607,0
1530,200,167.7,0.0616,0
1531,197,167.3,0.0622,0
1532,200,169.0,0.0622,0
1533,197,168.7,0.0619,0
1534,200,170.3,0.0614,0
1535,200,167.4,0.0614,0
1536,198,166.2,0.0613,0
1537,199,167.2,0.0610,0
1538,198,167.6,0.0610,0
1539,199,168.5,0.0614,0
1540,200,167.2,0.0612,0
1541,200,164.3,0.0612,0
1542,199,162.3,0.0614,0
1543,198,162.6,0.0614,0
1544,198,164.5,0.0615,0
1545,200,164.7,0.0616,0
1546,200,161.9,0.0616,0
1547,200,159.0,0.0616,0
1548,198,157.8,0.0619,0
1549,200,158.2,0.0620,0
1550,200,155.4,0.0620,0
1551,199,153.4,0.0612,0
1552,199,153.1,0.0604,0
1553,199,152.7,0.0605,0
1554,200,151.5,0.0603,0
1555,200,148.8,0.0603,0
1556,199,146.9,0.0605,0
1557,198,147.4,0.0600,0
1558,199,148.7,0.0602,0
1559,198,149.2,0.0598,0
1560,199,150.4,0.0599,0
1561,198,150.9,0.0602,0
1562,198,152.9,0.0604,0
1563,198,155.0,0.0611,0
1564,200,155.4,0.0610,0
1565,199,153.5,0.0611,0
1566,199,153.2,0.0606,0
1567,200,152.1,0.0605,0
1568,199,150.2,0.0606,0
1569,197,151.5,0.0600,0
1570,198,155.2,0.0605,0
1571,198,157.3,0.0607,0
1572,199,158.5,0.0606,0
1573,198,159.0,0.0606,0
1574,199,160.2,0.0606,0
1575,198,160.7,0.0608,0
1576,198,162.7,0.0615,0
1577,199,163.9,0.0617,0
1578,197,165.2,0.0623,0
1579,199,167.9,0.0629,0
1580,197,169.2,0.0628,0
1581,199,171.9,0.0622,0
1582,195,175.0,0.0619,0
1583,199,180.5,0.0627,0
1584,198,180.9,0.0625,0
1585,197,183.7,0.0622,0
1586,199,186.1,0.0629,0
1587,198,186.4,0.0636,0
1588,199,187.3,0.0633,0
1589,199,186.7,0.0629,0
1590,198,187.0,0.0629,0
1591,197,189.7,0.0633,0
1592,198,192.9,0.0651,0
1593,200,192.7,0.0649,0
1594,200,189.7,0.0649,0
1595,197,189.6,0.0646,0
1596,199,191.9,0.0670,0
1597,199,191.3,0.0666,0
1598,198,191.6,0.0669,0
1599,197,194.3,0.0668,0
1600,199,196.5,0.0684,0
1601,197,197.8,0.0693,0
1602,199,199.9,0.0701,0
1603,199,199.2,0.0706,0
1604,196,201.6,0.0699,0
1605,198,206.0,0.0686,0
1606,198,207.7,0.0686,0
1607,198,209.3,0.0690,0
1608,198,210.9,0.0699,0
1609,198,212.5,0.0710,0
1610,198,214.1,0.0706,0
1611,198,215.7,0.0698,0
1612,199,216.2,0.0706,0
1613,199,215.4,0.0705,0
1614,199,214.5,0.0710,0
1615,199,213.7,0.0709,0
1616,197,215.1,0.0709,0
1617,200,215.7,0.0711,0
1618,199,213.6,0.0714,0
1619,198,213.8,0.0709,0
1620,199,214.2,0.0703,0
1621,197,215.5,0.0699,0
1622,199,217.1,0.0699,0
1623,198,217.3,0.0704,0
1624,198,218.8,0.0703,0
1625,198,220.3,0.0708,0
1626,198,221.7,0.0704,0
1627,200,221.0,0.0708,0
1628,199,218.8,0.0706,0
1629,200,216.8,0.0703,0
1630,199,214.6,0.0701,0
1631,199,213.7,0.0705,0
1632,199,212.9,0.0698,0
1633,199,212.0,0.0692,0
1634,196,214.4,0.0696,0
1635,197,219.6,0.0693,0
1636,197,223.5,0.0702,0
1637,200,223.9,0.0705,0
1638,200,220.5,0.0705,0
1639,200,217.2,0.0705,0
1640,198,216.1,0.0704,0
1641,200,215.4,0.0698,0
1642,199,213.2,0.0693,0
1643,200,211.2,0.0695,0
1644,198,210.1,0.0698,0
1645,197,212.6,0.0692,0
1646,200,213.3,0.0693,0
1647,199,211.1,0.0695,0
1648,198,211.2,0.0701,0
1649,200,210.5,0.0696,0
1650,200,207.3,0.0696,0
1651,199,205.1,0.0699,0
1652,199,204.2,0.0700,0
1653,199,203.4,0.0695,0
1654,200,201.5,0.0703,0
1655,200,198.4,0.0703,0
1656,199,196.3,0.0706,0
1657,198,196.6,0.0711,0
1658,198,198.3,0.0712,0
1659,200,197.9,0.0719,0
1660,197,197.8,0.0718,0
