tick,pop_capital,pop_labor,nouveaux_riches,avg_innovation,contracts
291,20,180,0,0.573,0
292,20,180,0,0.573,0
293,20,180,0,0.573,0
294,20,180,0,0.573,0
295,20,180,0,0.573,0
296,20,180,0,0.573,0
297,20,180,0,0.573,0
298,20,180,0,0.573,0
299,20,180,0,0.573,0
300,20,180,0,0.573,0
301,20,180,0,0.573,0
302,20,180,0,0.573,0
303,20,180,0,0.573,0
304,20,180,0,0.573,0
305,20,180,0,0.573,0
306,20,180,0,0.573,0
307,20,180,0,0.573,0
308,20,180,0,0.573,0
309,20,180,0,0.573,0
310,20,180,0,0.573,0
311,20,180,0,0.573,0
312,20,180,0,0.573,0
313,20,180,0,0.573,0
314,20,180,0,0.573,0
315,20,180,0,0.573,0
316,20,180,0,0.573,0
317,20,180,0,0.573,0
318,20,180,0,0.573,0
319,20,180,0,0.573,0
320,20,180,0,0.573,0
321,20,180,0,0.573,0
322,20,180,0,0.573,0
323,20,180,0,0.573,0
324,20,180,0,0.573,0
325,20,180,0,0.573,0
326,20,180,0,0.573,0
327,20,180,0,0.573,0
328,20,180,0,0.573,0
329,20,180,0,0.573,0
330,20,180,0,0.573,0
331,20,180,0,0.573,0
332,20,180,0,0.573,0
333,20,180,0,0.573,0
334,20,180,0,0.573,0
335,20,180,0,0.573,0
336,20,180,0,0.573,0
337,20,180,0,0.573,0
338,20,180,0,0.573,0
339,20,180,0,0.573,0
340,20,180,0,0.573,0
341,20,180,0,0.573,0
342,20,180,0,0.573,0
343,20,180,0,0.573,0
344,20,180,0,0.573,0
345,20,180,0,0.573,0
346,20,180,0,0.573,0
347,20,180,0,0.573,0
348,20,180,0,0.573,0
349,20,180,0,0.573,0
350,20,180,0,0.573,0
351,20,180,0,0.573,0
352,20,180,0,0.573,0
353,20,180,0,0.573,0
354,20,180,0,0.573,0
355,20,180,0,0.573,0
356,20,180,0,0.573,0
357,20,180,0,0.573,0
358,20,180,0,0.573,0
359,20,180,0,0.573,0
360,20,180,0,0.573,0
361,20,180,0,0.573,0
362,20,180,0,0.573,0
363,20,180,0,0.573,0
364,20,180,0,0.573,0
365,20,180,0,0.573,0
366,20,180,0,0.573,0
367,20,180,0,0.573,0
368,20,180,0,0.573,0
369,20,180,0,0.573,0
370,20,180,0,0.573,0
371,20,180,0,0.573,0
372,20,180,0,0.573,0
373,20,180,0,0.573,0
374,20,180,0,0.573,0
375,20,180,0,0.573,0
376,20,180,0,0.573,0
377,20,180,0,0.573,0
378,20,180,0,0.573,0
379,20,180,0,0.573,0
380,20,180,0,0.573,0
381,20,180,0,0.573,0
382,20,180,0,0.573,0
383,20,180,0,0.573,0
384,20,180,0,0.573,0
385,20,180,0,0.573,0
386,20,180,0,0.573,0
387,20,180,0,0.573,0
388,20,180,0,0.573,0
