tick,tax_rate,subsidy,treasury,pop_rich,pop_poor,avg_nrg_poor
739,0.022,8.7,-0.0,0,147,25.7
740,0.022,8.7,-0.0,1,147,25.8
741,0.037,14.9,0.0,2,147,28.9
742,0.024,9.4,0.0,2,147,29.0
743,0.024,9.5,-0.0,1,147,29.5
744,0.034,13.5,0.0,0,147,32.0
745,0.034,13.5,-0.0,0,147,33.7
746,0.034,13.5,0.0,0,147,35.3
747,0.034,13.5,0.0,0,147,37.2
748,0.034,13.5,-0.0,1,147,38.2
749,0.035,14.0,0.0,0,147,39.2
750,0.035,14.0,-0.0,0,147,40.4
751,0.035,14.0,0.0,0,147,41.3
752,0.035,14.0,0.0,1,147,41.9
753,0.019,7.7,-0.0,1,147,38.9
754,0.019,7.7,-0.0,0,147,36.5
755,0.019,7.7,-0.0,0,147,34.2
756,0.019,7.7,0.0,1,147,32.2
757,0.034,13.6,-0.0,1,147,34.4
758,0.043,17.2,0.0,0,147,37.6
759,0.043,17.2,-0.0,0,147,40.3
760,0.043,17.2,-0.0,0,147,43.2
761,0.043,17.2,0.0,0,147,45.5
762,0.043,17.2,-0.0,0,147,47.0
763,0.043,17.2,-0.0,0,147,48.9
764,0.043,17.2,-0.0,0,147,50.1
765,0.043,17.2,0.0,1,147,50.8
766,0.003,1.3,-0.0,2,147,42.8
767,0.026,10.4,0.0,2,147,41.0
768,0.026,10.4,0.0,1,147,39.6
769,0.046,18.3,-0.0,0,147,43.5
770,0.046,18.3,-0.0,0,147,45.7
771,0.046,18.3,-0.0,0,147,48.4
772,0.046,18.3,-0.0,0,147,51.0
773,0.046,18.3,-0.0,0,147,52.3
774,0.046,18.3,0.0,0,147,54.0
775,0.046,18.3,-0.0,0,147,55.0
776,0.046,18.3,-0.0,0,147,56.2
777,0.046,18.3,0.0,0,147,57.1
778,0.046,18.3,-0.0,0,147,57.9
779,0.046,18.3,0.0,0,147,59.0
780,0.046,18.3,-0.0,0,147,58.8
781,0.046,18.3,0.0,0,147,59.0
782,0.046,18.3,0.0,0,147,59.9
783,0.046,18.3,-0.0,0,147,59.8
784,0.046,18.3,-0.0,0,147,59.7
785,0.046,18.3,0.0,0,147,59.9
786,0.046,18.3,-0.0,0,147,60.1
787,0.046,18.3,-0.0,0,147,58.9
788,0.046,18.3,-0.0,0,147,59.4
789,0.046,18.3,0.0,0,147,59.5
790,0.046,18.3,-0.0,0,147,58.1
791,0.046,18.3,-0.0,0,147,57.8
792,0.046,18.3,-0.0,0,147,58.6
793,0.046,18.3,-0.0,0,147,58.0
794,0.046,18.3,-0.0,0,147,58.1
795,0.046,18.3,0.0,0,147,58.7
796,0.046,18.3,-0.0,0,147,58.3
797,0.046,18.3,-0.0,0,147,58.9
798,0.046,18.3,-0.0,0,147,58.8
799,0.046,18.3,0.0,0,147,58.7
800,0.046,18.3,-0.0,0,147,58.5
801,0.046,18.3,0.0,0,147,59.0
802,0.046,18.3,0.0,0,147,58.8
803,0.046,18.3,0.0,0,147,58.6
804,0.046,18.3,-0.0,0,147,58.9
805,0.046,18.3,-0.0,0,147,58.5
806,0.046,18.3,0.0,0,147,59.0
807,0.046,18.3,0.0,0,147,58.7
808,0.046,18.3,-0.0,0,147,58.7
