tick,population,avg_energy
399,50,48.91
400,45,52.82
401,49,54.31
402,50,53.20
403,49,52.81
404,50,51.72
405,50,50.26
406,49,49.81
407,48,50.83
408,48,52.32
409,50,51.63
410,49,51.21
411,49,51.20
412,49,51.20
413,49,51.19
414,48,52.25
415,50,51.56
416,50,50.10
417,49,49.65
418,50,48.62
419,49,48.14
420,49,48.13
421,50,47.13
422,49,46.61
423,48,47.57
424,49,48.03
425,50,47.04
426,47,48.57
427,48,50.53
428,50,49.91
429,49,49.46
430,50,48.45
431,49,47.96
432,49,47.97
433,48,48.97
434,48,50.47
435,49,50.90
436,48,51.96
437,48,53.46
438,50,52.72
439,50,51.26
440,50,49.80
441,49,49.33
442,48,50.35
443,50,49.73
444,49,49.27
445,49,49.27
446,49,49.27
447,49,49.25
448,48,50.25
449,48,51.77
450,49,52.18
451,50,51.11
452,49,50.68
453,49,50.65
454,50,49.61
455,49,49.17
456,48,50.18
457,48,51.67
458,49,52.08
459,48,53.15
460,48,54.61
461,50,53.83
462,50,52.36
463,50,50.90
464,49,50.46
465,50,49.42
466,49,48.95
467,48,49.94
468,50,49.33
469,49,48.86
470,50,47.85
471,50,46.39
472,48,46.85
473,49,47.35
474,49,47.33
475,48,48.30
476,49,48.77
477,50,47.77
478,49,47.27
479,48,48.27
480,50,47.74
481,48,48.24
482,47,50.83
483,48,52.77
484,50,52.06
485,49,51.66
486,49,51.64
487,50,50.58
488,48,51.19
489,50,50.54
490,49,50.09
491,49,50.08
492,50,49.04
493,47,50.66
494,49,51.48
495,49,51.46
496,50,50.41
497,50,48.95
498,48,49.49
499,49,49.94
500,50,48.91
501,48,49.45
502,49,49.90
503,49,49.88
504,48,50.91
505,48,52.38
506,48,53.85
507,48,55.36
508,50,54.54
509,50,53.08
510,49,52.70
511,49,52.67
512,50,51.58
513,50,50.12
514,48,50.72
515,50,50.08
516,50,48.62
517,50,47.16
518,49,46.65
519,47,48.64
520,49,49.56
521,50,48.54
522,50,47.09
523,50,45.63
524,48,46.04
525,50,45.60
526,48,46.03
527,47,48.53
528,50,48.45
529,47,50.04
530,49,50.92
531,49,50.91
532,48,51.98
533,49,52.36
534,49,52.35
535,49,52.34
536,50,51.26
537,49,50.84
538,49,50.81
539,49,50.78
540,49,50.78
541,50,49.74
542,49,49.29
543,49,49.28
544,49,49.27
545,50,48.26
546,49,47.77
547,49,47.75
548,49,47.75
549,48,48.74
550,48,50.25
551,49,50.68
552,49,50.66
553,46,54.01
554,50,53.96
555,49,53.58
556,49,53.58
557,49,53.58
558,49,53.57
559,49,53.54
560,49,53.52
561,50,52.41
562,50,50.95
563,50,49.49
564,49,49.02
565,49,49.00
566,48,50.04
567,50,49.43
568,50,47.98
569,49,47.50
570,50,46.52
571,50,45.07
572,49,44.52
573,48,45.46
574,49,45.97
575,50,45.03
576,48,45.43
577,46,49.02
578,48,51.47
579,49,51.86
580,49,51.84
581,49,51.84
582,49,51.84
583,49,51.83
584,49,51.80
585,49,51.78
586,49,51.75
587,50,50.68
588,48,51.34
589,49,51.74
590,50,50.68
591,49,50.26
592,50,49.24
593,50,47.78
594,50,46.33
595,49,45.79
596,49,45.77
597,48,46.72
598,48,48.21
599,47,50.79
600,49,51.63
601,48,52.72
602,47,55.37
603,49,56.02
604,50,54.87
605,49,54.53
606,50,53.41
607,49,53.02
608,49,53.01
609,49,53.00
610,50,51.91
611,50,50.46
612,48,51.07
613,49,51.48
614,50,50.43
615,50,48.99
616,49,48.53
617,50,47.54
618,50,46.09
619,50,44.63
620,49,44.07
621,48,45.02
622,49,45.54
623,47,47.50
624,48,49.51
625,49,49.97
626,50,48.95
627,49,48.48
628,48,49.51
629,47,52.12
630,49,52.90
631,50,51.82
632,50,50.36
633,47,52.07
634,50,51.78
635,50,50.33
636,48,50.98
637,49,51.39
638,50,50.34
639,49,49.93
640,50,48.91
641,50,47.47
642,50,46.02
643,50,44.57
644,47,45.94
645,48,47.95
646,48,49.47
647,48,50.99
648,48,52.51
649,49,52.91
650,48,54.01
651,49,54.36
652,48,55.51
653,50,54.70
654,50,53.25
655,48,53.98
656,50,53.22
657,49,52.83
658,50,51.76
659,50,50.31
660,48,50.91
661,49,51.35
662,50,50.31
663,49,49.88
664,50,48.87
665,50,47.43
666,50,45.99
667,49,45.48
668,49,45.48
669,49,45.48
670,47,47.43
671,49,48.41
672,48,49.46
673,50,48.90
674,48,49.45
675,49,49.91
676,47,52.08
677,49,52.87
678,50,51.80
679,49,51.40
680,50,50.36
681,49,49.92
682,49,49.91
683,49,49.89
684,48,50.97
685,50,50.35
686,50,48.92
687,49,48.47
688,49,48.49
689,50,47.51
690,50,46.07
691,48,46.51
692,48,48.02
693,49,48.52
694,47,50.63
695,50,50.45
696,49,50.04
697,47,52.26
698,48,54.17
699,50,53.42
700,48,54.21
701,49,54.57
702,50,53.47
703,50,52.03
704,48,52.72
705,50,52.02
706,49,51.63
707,50,50.58
708,49,50.16
709,48,51.23
710,50,50.60
711,50,49.16
712,49,48.71
713,50,47.72
714,50,46.28
715,49,45.77
716,49,45.77
717,48,46.74
718,48,48.26
719,47,50.84
720,50,50.65
721,49,50.23
722,49,50.23
723,49,50.23
724,47,52.44
725,49,53.23
726,50,52.15
727,49,51.76
728,50,50.71
729,49,50.30
730,50,49.28
731,49,48.83
732,49,48.81
733,49,48.82
734,49,48.84
735,50,47.85
736,49,47.37
737,50,46.42
738,49,45.91
739,49,45.92
740,49,45.92
741,48,46.90
742,47,49.46
743,48,51.44
744,50,50.80
745,46,53.74
746,49,54.83
747,49,54.83
748,49,54.84
749,49,54.86
750,50,53.75
751,49,53.39
752,50,52.30
753,50,50.86
754,49,50.44
755,49,50.45
756,50,49.42
757,48,50.00
758,49,50.44
759,50,49.42
760,49,48.97
761,50,47.98
762,50,46.55
763,48,47.01
764,49,47.52
765,50,46.56
766,47,48.06
767,49,49.01
768,47,51.14
769,50,50.93
770,49,50.50
771,47,52.73
772,49,53.51
773,50,52.44
774,48,53.17
775,49,53.55
776,50,52.46
777,50,51.02
778,50,49.58
779,50,48.14
780,48,48.68
781,50,48.15
782,50,46.70
783,49,46.20
784,48,47.17
785,50,46.71
786,49,46.21
787,50,45.28
788,48,45.71
789,50,45.31
790,47,46.73
791,48,48.75
792,48,50.28
793,47,52.94
794,48,54.87
795,48,56.36
796,49,56.67
797,50,55.53
798,49,55.21
799,50,54.10
800,50,52.66
801,50,51.22
802,49,50.82
803,49,50.84
804,50,49.81
805,50,48.37
806,49,47.92
807,50,46.95
808,48,47.47
809,50,46.99
810,49,46.51
811,50,45.57
812,48,46.01
813,47,48.59
814,49,49.53
815,49,49.54
816,49,49.54
817,48,50.61
818,49,51.05
819,47,53.30
820,48,55.20
821,49,55.54
822,50,54.43
823,50,52.99
824,49,52.63
825,50,51.57
826,49,51.17
827,49,51.16
828,50,50.13
829,50,48.70
830,50,47.26
831,50,45.82
832,49,45.32
833,49,45.32
834,48,46.28
835,50,45.85
836,48,46.30
837,48,47.80
838,49,48.30
839,50,47.34
840,48,47.87
841,46,51.57
842,50,51.75
843,48,52.46
844,46,56.36
845,49,57.29
846,50,56.14
847,50,54.70
848,50,53.27
849,50,51.83
850,49,51.44
851,49,51.45
852,50,50.41
853,50,48.98
854,50,47.54
855,49,47.05
856,49,47.06
857,48,48.07
858,50,47.58
859,49,47.10
860,49,47.10
861,48,48.09
862,50,47.61
863,50,46.18
864,48,46.65
865,47,49.20
866,48,51.18
867,46,55.03
868,49,56.05
869,49,56.06
870,50,54.94
871,49,54.61
872,50,53.51
873,50,52.08
874,49,51.69
875,50,50.65
876,50,49.22
877,50,47.78
878,49,47.31
879,48,48.31
880,50,47.81
881,49,47.35
882,49,47.35
883,50,46.40
884,49,45.91
885,49,45.92
886,48,46.92
887,50,46.48
888,47,47.97
889,48,50.00
890,49,50.47
891,47,52.69
892,48,54.60
893,48,56.13
894,50,55.31
895,49,54.99
896,50,53.89
897,50,52.45
898,50,51.02
899,49,50.62
900,49,50.64
901,50,49.62
902,49,49.20
903,50,48.21
904,49,47.74
905,48,48.76
906,50,48.24
907,50,46.81
908,49,46.31
909,50,45.39
910,47,46.83
911,49,47.86
912,48,48.89
913,50,48.37
914,46,51.08
915,49,52.37
916,48,53.50
917,49,53.89
918,48,55.05
919,50,54.27
920,49,53.93
921,50,52.84
922,49,52.46
923,50,51.40
924,50,49.97
925,49,49.54
926,50,48.54
927,49,48.07
928,49,48.08
929,49,48.07
930,50,47.11
931,49,46.63
932,50,45.70
933,48,46.13
934,50,45.71
935,48,46.19
936,50,45.78
937,46,48.26
938,48,50.75
939,46,54.58
940,50,54.51
941,49,54.18
942,49,54.20
943,49,54.21
944,49,54.21
945,50,53.11
946,49,52.74
947,50,51.67
948,49,51.27
949,50,50.23
950,50,48.80
951,49,48.33
952,47,50.41
953,50,50.23
954,50,48.79
955,50,47.36
956,50,45.92
957,48,46.36
958,50,45.93
959,48,46.38
960,50,45.96
961,49,45.46
962,45,49.59
963,48,52.47
964,46,56.39
965,50,56.16
966,50,54.73
967,50,53.29
968,49,52.92
969,48,54.03
970,50,53.28
971,50,51.85
972,50,50.41
973,50,48.97
974,49,48.53
975,50,47.55
976,48,48.07
977,48,49.57
978,50,49.01
979,50,47.57
980,50,46.14
981,48,46.58
982,50,46.14
983,48,46.62
984,49,47.13
985,49,47.16
986,48,48.17
987,48,49.70
988,46,53.48
989,50,53.49
990,48,54.24
991,50,53.49
992,49,53.14
993,49,53.15
994,49,53.16
995,50,52.08
996,50,50.64
997,50,49.20
998,48,49.79
999,49,50.23
1000,48,51.30
