tick,population,avg_energy,entropy_rate
243,1000,15.7,1.000
244,1000,15.7,1.000
245,1000,15.7,1.000
246,1000,15.7,1.000
247,1000,15.7,1.000
248,1000,15.7,1.000
249,1000,15.7,1.000
250,1000,15.7,1.000
251,1000,15.7,1.000
252,1000,15.7,1.000
253,1000,15.7,1.000
254,1000,15.7,1.000
255,1000,15.7,1.000
256,1000,15.7,1.000
257,1000,15.7,1.000
258,1000,15.7,1.000
259,1000,15.7,1.000
260,1000,15.6,1.000
261,1000,15.6,1.000
262,1000,15.6,1.000
263,1000,15.6,1.000
264,1000,15.6,1.000
265,1000,15.6,1.000
266,1000,15.6,1.000
267,1000,15.6,1.000
268,1000,15.6,1.000
269,1000,15.6,1.000
270,1000,15.6,1.000
271,1000,15.6,1.000
272,1000,15.6,1.000
273,1000,15.6,1.000
274,1000,15.6,1.000
275,1000,15.6,1.000
276,1000,15.6,1.000
277,1000,15.6,1.000
278,1000,15.6,1.000
279,1000,15.6,1.000
280,1000,15.6,1.000
281,1000,15.6,1.000
282,1000,15.6,1.000
283,1000,15.6,1.000
284,1000,15.6,1.000
285,1000,15.6,1.000
286,1000,15.6,1.000
287,1000,15.5,1.000
288,1000,15.5,1.000
289,1000,15.5,1.000
290,1000,15.5,1.000
291,1000,15.5,1.000
292,1000,15.5,1.000
293,1000,15.5,1.000
294,1000,15.5,1.000
295,1000,15.5,1.000
296,1000,15.5,1.000
297,1000,15.5,1.000
298,1000,15.5,1.000
299,1000,15.5,1.000
300,1000,15.5,1.000
301,1000,15.5,1.000
302,1000,15.5,1.000
303,1000,15.5,1.000
304,1000,15.5,1.000
305,1000,15.5,1.000
306,1000,15.5,1.000
307,1000,15.5,1.000
308,1000,15.5,1.000
309,1000,15.5,1.000
310,1000,15.5,1.000
311,1000,15.5,1.000
312,1000,15.5,1.000
313,1000,15.5,1.000
314,1000,15.5,1.000
315,1000,15.4,1.000
316,1000,15.4,1.000
317,1000,15.4,1.000
318,1000,15.4,1.000
319,1000,15.4,1.000
320,1000,15.4,1.000
321,1000,15.4,1.000
322,1000,15.4,1.000
323,1000,15.4,1.000
324,1000,15.4,1.000
325,1000,15.4,1.000
326,1000,15.4,1.000
327,1000,15.4,1.000
328,1000,15.4,1.000
329,1000,15.4,1.000
330,1000,15.4,1.000
331,1000,15.4,1.000
332,1000,15.4,1.000
333,1000,15.4,1.000
334,1000,15.4,1.000
335,1000,15.4,1.000
336,1000,15.4,1.000
337,1000,15.4,1.000
338,1000,15.4,1.000
339,1000,15.4,1.000
340,1000,15.4,1.000
341,1000,15.4,1.000
342,1000,15.4,1.000
343,1000,15.3,1.000
344,1000,15.3,1.000
345,1000,15.3,1.000
346,1000,15.3,1.000
347,1000,15.3,1.000
348,1000,15.3,1.000
349,1000,15.3,1.000
350,1000,15.3,1.000
351,1000,15.3,1.000
352,1000,15.3,1.000
353,1000,15.3,1.000
354,1000,15.3,1.000
355,1000,15.3,1.000
356,1000,15.3,1.000
357,1000,15.3,1.000
358,1000,15.3,1.000
359,1000,15.3,1.000
360,1000,15.3,1.000
361,1000,15.3,1.000
362,1000,15.3,1.000
363,1000,15.3,1.000
364,1000,15.3,1.000
365,1000,15.3,1.000
366,1000,15.3,1.000
367,1000,15.3,1.000
368,1000,15.3,1.000
369,1000,15.3,1.000
370,1000,15.3,1.000
371,1000,15.2,1.000
372,1000,15.2,1.000
373,1000,15.2,1.000
374,1000,15.2,1.000
375,1000,15.2,1.000
376,1000,15.2,1.000
377,1000,15.2,1.000
378,1000,15.2,1.000
379,1000,15.2,1.000
380,1000,15.2,1.000
381,1000,15.2,1.000
382,1000,15.2,1.000
383,1000,15.2,1.000
384,1000,15.2,1.000
385,1000,15.2,1.000
386,1000,15.2,1.000
387,1000,15.2,1.000
388,1000,15.2,1.000
389,1000,15.2,1.000
390,1000,15.2,1.000
391,1000,15.2,1.000
392,1000,15.2,1.000
393,1000,15.2,1.000
394,1000,15.2,1.000
395,1000,15.2,1.000
396,1000,15.2,1.000
397,1000,15.2,1.000
398,1000,15.1,1.000
399,1000,15.1,1.000
400,1000,15.1,1.000
401,1000,15.1,1.000
402,1000,15.1,1.000
403,1000,15.1,1.000
404,1000,15.1,1.000
405,1000,15.1,1.000
406,1000,15.1,1.000
407,1000,15.1,1.000
408,1000,15.1,1.000
409,1000,15.1,1.000
410,1000,15.1,1.000
411,1000,15.1,1.000
412,1000,15.1,1.000
413,1000,15.1,1.000
414,1000,15.1,1.000
415,1000,15.1,1.000
416,1000,15.1,1.000
417,1000,15.1,1.000
418,1000,15.1,1.000
419,1000,15.1,1.000
420,1000,15.1,1.000
421,1000,15.1,1.000
422,1000,15.1,1.000
423,1000,15.1,1.000
424,1000,15.1,1.000
425,1000,15.1,1.000
426,1000,15.0,1.000
427,1000,15.0,1.000
428,1000,15.0,1.000
429,1000,15.0,1.000
430,1000,15.0,1.000
431,1000,15.0,1.000
432,1000,15.0,1.000
433,1000,15.0,1.000
434,1000,15.0,1.000
435,1000,15.0,1.000
436,1000,15.0,1.000
437,1000,15.0,1.000
438,1000,15.0,1.000
439,1000,15.0,1.000
440,1000,15.0,1.000
441,1000,15.0,1.000
442,1000,15.0,1.000
443,1000,15.0,1.000
444,1000,15.0,1.000
445,1000,15.0,1.000
446,1000,15.0,1.000
447,1000,15.0,1.000
448,1000,15.0,1.000
449,1000,15.0,1.000
450,1000,15.0,1.000
451,1000,15.0,1.000
452,1000,15.0,1.000
453,1000,15.0,1.000
454,1000,14.9,1.000
455,1000,14.9,1.000
456,1000,14.9,1.000
457,1000,14.9,1.000
458,1000,14.9,1.000
459,1000,14.9,1.000
460,1000,14.9,1.000
461,1000,14.9,1.000
