tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_pred_age
138,198,50,0.5024,0.6504,132.5
139,197,50,0.5026,0.6504,133.5
140,198,50,0.5031,0.6504,134.5
141,199,50,0.5028,0.6504,135.5
142,195,50,0.5033,0.6504,136.5
143,198,50,0.5033,0.6504,137.5
144,198,50,0.5039,0.6504,138.5
145,200,50,0.5036,0.6504,139.5
146,194,50,0.5041,0.6504,140.5
147,196,50,0.5059,0.6504,141.5
148,193,50,0.5016,0.6504,142.5
149,197,50,0.5023,0.6504,143.5
150,198,50,0.5016,0.6504,144.5
151,200,50,0.5020,0.6504,145.5
152,199,50,0.5017,0.6504,146.5
153,197,50,0.5047,0.6504,147.5
154,197,50,0.5063,0.6504,148.5
155,199,50,0.5073,0.6504,149.5
156,199,50,0.5068,0.6504,150.5
157,198,50,0.5077,0.6504,151.5
158,197,50,0.5082,0.6504,152.5
159,198,50,0.5076,0.6504,153.5
160,196,50,0.5079,0.6504,154.5
161,198,50,0.5084,0.6504,155.5
162,199,50,0.5065,0.6504,156.5
163,200,50,0.5071,0.6504,157.5
164,196,50,0.5079,0.6504,158.5
165,197,50,0.5063,0.6504,159.5
166,199,50,0.5094,0.6504,160.5
167,197,50,0.5107,0.6504,161.5
168,196,50,0.5146,0.6504,162.5
169,198,50,0.5145,0.6504,163.5
170,198,50,0.5132,0.6504,164.5
171,197,50,0.5134,0.6504,165.5
172,194,50,0.5155,0.6504,166.5
173,198,50,0.5145,0.6504,167.5
174,199,50,0.5157,0.6504,168.5
175,198,50,0.5174,0.6504,169.5
176,200,50,0.5171,0.6504,170.5
177,196,50,0.5170,0.6504,171.5
178,198,50,0.5184,0.6504,172.5
179,195,50,0.5189,0.6504,173.5
180,199,50,0.5217,0.6504,174.5
181,196,50,0.5203,0.6504,175.5
182,199,50,0.5211,0.6504,176.5
183,197,50,0.5201,0.6504,177.5
184,198,50,0.5204,0.6504,178.5
185,200,50,0.5205,0.6504,179.5
186,198,50,0.5201,0.6504,180.5
187,193,50,0.5194,0.6504,181.5
188,198,50,0.5217,0.6504,182.5
189,198,50,0.5231,0.6504,183.5
190,200,50,0.5243,0.6504,184.5
191,199,50,0.5241,0.6504,185.5
192,199,50,0.5250,0.6504,186.5
193,198,50,0.5253,0.6504,187.5
194,200,50,0.5264,0.6504,188.5
195,198,50,0.5265,0.6504,189.5
196,199,50,0.5286,0.6504,190.5
197,198,50,0.5282,0.6504,191.5
198,197,50,0.5272,0.6504,192.5
199,195,50,0.5275,0.6504,193.5
200,200,50,0.5294,0.6504,194.5
201,198,50,0.5327,0.6504,195.5
202,199,50,0.5320,0.6504,196.5
203,199,50,0.5332,0.6504,197.5
204,196,50,0.5359,0.6504,198.5
205,199,50,0.5381,0.6504,199.5
206,198,50,0.5398,0.6504,200.5
207,199,50,0.5410,0.6504,201.5
208,194,50,0.5411,0.6504,202.5
209,193,50,0.5428,0.6504,203.5
210,199,50,0.5444,0.6504,204.5
211,196,50,0.5465,0.6504,205.5
212,196,50,0.5486,0.6504,206.5
213,199,50,0.5474,0.6504,207.5
214,198,50,0.5471,0.6504,208.5
215,198,50,0.5468,0.6504,209.5
216,199,50,0.5475,0.6504,210.5
