tick,avg_dist_to_city,urban_pop,rural_pop,avg_energy_urban,avg_energy_rural
179,42.4,7,153,411.3,398.1
180,42.4,7,153,407.0,397.7
181,42.4,7,153,405.4,397.1
182,42.4,7,153,404.5,396.6
183,42.4,7,153,402.8,396.1
184,42.4,7,153,401.1,395.6
185,42.4,7,153,400.1,395.2
186,42.4,7,153,398.3,394.6
187,42.4,7,153,397.3,394.1
188,42.4,7,153,395.4,393.6
189,42.4,7,153,394.3,393.1
190,42.4,7,153,392.5,392.7
191,42.4,7,153,390.6,392.3
192,42.4,7,153,389.5,391.7
193,42.4,7,153,384.3,391.3
194,42.4,7,153,383.2,390.8
195,42.4,7,153,381.4,390.4
196,42.4,7,153,380.3,389.8
197,42.4,7,153,378.5,389.5
198,42.4,7,153,377.3,388.9
199,42.4,7,153,375.5,388.6
200,42.4,7,153,374.3,388.0
