tick,season_factor,prey_pop,pred_pop,avg_prey_energy,avg_efficiency
541,0.77,95,5,823.2,0.4467
542,0.74,95,5,824.8,0.4467
543,0.71,95,5,825.9,0.4467
544,0.68,95,5,826.8,0.4467
545,0.65,95,5,827.5,0.4467
546,0.62,95,5,827.8,0.4467
547,0.59,95,5,827.8,0.4467
548,0.56,95,5,827.4,0.4467
549,0.53,95,5,827.0,0.4467
550,0.50,95,5,826.3,0.4467
551,0.47,95,5,825.5,0.4467
552,0.44,95,5,824.4,0.4467
553,0.41,95,5,823.3,0.4467
554,0.38,95,5,826.7,0.4457
555,0.35,95,5,829.5,0.4457
556,0.32,95,5,826.9,0.4457
557,0.29,95,5,823.9,0.4457
558,0.26,95,5,820.8,0.4457
559,0.23,95,5,817.5,0.4457
560,0.21,95,5,813.7,0.4457
561,0.18,95,5,809.8,0.4457
562,0.16,95,5,810.8,0.4445
563,0.14,95,5,806.4,0.4445
564,0.11,95,5,801.7,0.4445
565,0.10,95,5,797.0,0.4445
566,0.08,95,5,797.0,0.4423
567,0.06,95,5,791.5,0.4423
568,0.05,95,5,786.2,0.4423
569,0.04,95,5,780.8,0.4423
570,0.02,95,5,775.5,0.4423
571,0.02,95,5,774.9,0.4422
572,0.01,95,5,769.1,0.4422
573,0.00,95,5,763.3,0.4422
574,0.00,95,5,757.5,0.4422
575,0.00,95,5,751.8,0.4422
576,0.00,95,5,746.0,0.4422
577,0.00,95,5,740.6,0.4422
578,0.01,95,5,735.2,0.4422
579,0.02,95,5,730.1,0.4422
580,0.02,95,5,725.5,0.4422
581,0.04,95,5,725.8,0.4405
582,0.05,95,5,721.0,0.4405
583,0.06,95,5,716.3,0.4405
584,0.08,95,5,711.8,0.4405
585,0.10,95,5,717.8,0.4384
586,0.11,95,5,713.4,0.4384
587,0.14,95,5,709.3,0.4384
588,0.16,95,5,705.3,0.4384
589,0.18,95,5,701.7,0.4384
590,0.21,95,5,703.1,0.4409
591,0.23,95,5,699.7,0.4409
592,0.26,95,5,696.5,0.4409
593,0.29,95,5,693.5,0.4409
594,0.32,95,5,691.0,0.4409
595,0.35,95,5,689.0,0.4409
596,0.38,95,5,687.2,0.4409
597,0.41,95,5,685.9,0.4409
598,0.44,95,5,685.2,0.4409
599,0.47,95,5,684.9,0.4409
600,0.50,95,5,689.6,0.4434
601,0.53,95,5,689.5,0.4434
602,0.56,95,5,689.9,0.4434
603,0.59,95,5,690.7,0.4434
604,0.62,95,5,692.0,0.4434
605,0.65,95,5,698.8,0.4425
606,0.68,95,5,705.5,0.4373
607,0.71,95,5,707.2,0.4373
608,0.74,95,5,709.3,0.4373
