tick,population,avg_efficiency,avg_energy
1,100,0.48856945719882666,468.90205639927575
2,100,0.48856945719882666,439.3590099785877
3,100,0.48856945719882666,411.29311587893415
4,100,0.48856945719882666,384.6305164842632
5,100,0.48856945719882666,359.3010470593258
6,100,0.48856945719882666,335.2380511056353
7,100,0.48856945719882666,312.37820494962926
8,100,0.48856945719882666,290.6613511014236
9,100,0.48856945719882666,270.03033994562816
10,100,0.48856945719882666,250.43087934762252
11,100,0.48856945719882666,231.81139177951718
12,100,0.48856945719882666,214.12287858981708
13,100,0.48856945719882666,197.318791059602
14,100,0.48856945719882666,181.35490790589768
15,100,0.48856945719882666,171.58921890987855
16,100,0.48856945719882666,162.3118143636604
17,100,0.48856945719882666,153.49828004475316
18,100,0.48856945719882666,145.12542244179124
19,100,0.48856945719882666,137.17120771897746
20,100,0.48856945719882666,129.61470373230435
21,100,0.48856945719882666,122.43602494496491
22,100,0.48856945719882666,115.61628009699243
23,100,0.48856945719882666,109.13752249141858
24,100,0.48856945719882666,102.98270276612342
25,100,0.48856945719882666,97.13562402709302
26,100,0.48856945719882666,91.58089922501414
27,100,0.48856945719882666,86.30391066303919
28,100,0.48856945719882666,81.29077152916301
29,100,0.48856945719882666,76.52828935198062
30,100,0.48856945719882666,72.00393128365737
31,100,0.48856945719882666,67.70579111875026
32,100,0.48856945719882666,63.622557962088514
33,100,0.48856945719882666,59.74348646325986
34,100,0.48856945719882666,56.05836853937264
35,100,0.48856945719882666,52.557506511679776
36,100,0.48856945719882666,49.23168758537155
37,100,0.48856945719882666,46.072159605378744
38,100,0.48856945719882666,43.07060802438558
39,100,0.48856945719882666,40.21913402244207
40,100,0.48856945719882666,37.510233720595735
41,100,0.48856945719882666,34.93677843384172
42,94,0.47188518784482225,34.620259890566174
43,80,0.4063235513030349,37.96418966374025
44,75,0.3724867466891169,37.75459469054082
45,73,0.3574191145851815,36.11977627470344
46,73,0.3574191145851815,33.55868196550488
47,73,0.3574191145851815,31.125642371766258
48,73,0.3574191145851815,28.81425475771456
49,73,0.3574191145851815,26.61843652436545
50,73,0.3574191145851815,24.53240920268379
51,73,0.3574191145851815,22.55068324708622
52,73,0.3574191145851815,20.668043589268525
53,73,0.3574191145851815,18.879535914341712
54,73,0.3574191145851815,17.180453623161245
55,73,0.3574191145851815,15.566325446539798
56,73,0.3574191145851815,14.032903678749424
57,73,0.3574191145851815,12.576152999348569
58,73,0.3574191145851815,11.192239853917757
59,73,0.3574191145851815,9.877522365758486
60,73,0.3574191145851815,8.628540752007178
61,73,0.3574191145851815,7.4420082189434344
62,73,0.3574191145851815,6.314802312532879
63,73,0.3574191145851815,5.243956701442851
64,73,0.3574191145851815,4.226653370907325
65,72,0.3622443800655313,3.3231642295529116
66,65,0.3965625148930896,2.8353134805070854
67,59,0.42569652481074427,2.301267607830775
68,53,0.45608253548316013,1.8093367158611602
69,45,0.4993106535945927,1.4733357286040216
70,40,0.5241770446590185,0.9655075325910052
71,35,0.5446105597850487,0.4375842666701646
72,26,0.5926589426039084,0.17933025574950437
73,18,0.6240657213485905,-0.21197408613516683
74,12,0.6448697945918551,-0.6622514047665077
75,2,0.6721028597107812,-1.0338382796770205
