tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_prey_eff
151,192,50,0.4153,0.5021,0.8974
152,190,50,0.4123,0.5021,0.9008
153,195,50,0.4089,0.5021,0.9047
154,195,50,0.4117,0.5021,0.9038
155,195,50,0.4122,0.5021,0.9052
156,194,50,0.4115,0.5021,0.9119
157,197,50,0.4094,0.5021,0.9175
158,195,50,0.4096,0.5021,0.9166
159,194,50,0.4080,0.5021,0.9211
160,197,50,0.4118,0.5021,0.9231
161,191,50,0.4140,0.5021,0.9292
162,199,50,0.4144,0.5021,0.9317
163,196,50,0.4173,0.5021,0.9292
164,195,50,0.4201,0.5021,0.9286
165,194,50,0.4204,0.5021,0.9257
166,199,50,0.4210,0.5021,0.9248
167,196,50,0.4230,0.5021,0.9284
168,192,50,0.4232,0.5021,0.9341
169,196,50,0.4228,0.5021,0.9380
170,195,50,0.4218,0.5021,0.9412
171,197,50,0.4204,0.5021,0.9367
172,198,50,0.4192,0.5021,0.9343
173,193,50,0.4174,0.5021,0.9329
174,193,50,0.4209,0.5021,0.9373
175,193,50,0.4203,0.5021,0.9371
176,195,50,0.4194,0.5021,0.9389
177,197,50,0.4149,0.5021,0.9376
178,197,50,0.4152,0.5021,0.9395
179,189,50,0.4116,0.5021,0.9377
180,196,50,0.4094,0.5021,0.9415
181,193,50,0.4084,0.5021,0.9423
182,193,50,0.4038,0.5021,0.9430
183,196,50,0.4004,0.5021,0.9462
184,193,50,0.3984,0.5021,0.9505
185,194,50,0.3978,0.5021,0.9538
186,191,50,0.3947,0.5021,0.9544
187,195,50,0.3921,0.5021,0.9516
188,194,50,0.3928,0.5021,0.9536
189,195,50,0.3890,0.5021,0.9523
190,194,50,0.3905,0.5021,0.9498
191,197,50,0.3941,0.5021,0.9461
192,192,50,0.3967,0.5021,0.9446
193,196,50,0.3969,0.5021,0.9440
194,194,50,0.3971,0.5021,0.9435
195,197,50,0.3962,0.5021,0.9428
196,195,50,0.3955,0.5021,0.9393
197,193,50,0.3969,0.5021,0.9329
198,192,50,0.3967,0.5021,0.9334
199,197,50,0.3937,0.5021,0.9316
200,191,50,0.3941,0.5021,0.9229
201,192,50,0.3912,0.5021,0.9275
202,194,50,0.3905,0.5021,0.9262
203,195,50,0.3894,0.5021,0.9232
204,195,50,0.3901,0.5021,0.9208
205,199,50,0.3899,0.5021,0.9198
206,192,50,0.3901,0.5021,0.9225
207,195,50,0.3886,0.5021,0.9242
208,194,50,0.3952,0.5021,0.9253
209,193,50,0.4013,0.5021,0.9227
210,195,50,0.4060,0.5021,0.9167
211,192,50,0.4121,0.5021,0.9200
212,196,50,0.4128,0.5021,0.9213
213,194,50,0.4180,0.5021,0.9168
214,195,50,0.4212,0.5021,0.9165
215,192,50,0.4252,0.5021,0.9113
216,195,50,0.4280,0.5021,0.9095
217,195,50,0.4300,0.5021,0.9122
218,196,50,0.4331,0.5021,0.9104
219,196,50,0.4356,0.5021,0.9108
220,192,50,0.4396,0.5021,0.9033
221,197,50,0.4407,0.5021,0.8985
222,196,50,0.4399,0.5021,0.8967
223,194,50,0.4401,0.5021,0.8954
224,196,50,0.4406,0.5021,0.8959
225,197,50,0.4436,0.5021,0.8969
226,191,50,0.4486,0.5021,0.8974
227,197,50,0.4473,0.5021,0.8973
228,196,50,0.4484,0.5021,0.8978
229,197,50,0.4510,0.5021,0.9043
230,199,50,0.4483,0.5021,0.9037
231,198,50,0.4498,0.5021,0.9023
232,191,50,0.4512,0.5021,0.8989
233,193,50,0.4528,0.5021,0.9030
234,194,50,0.4539,0.5021,0.9081
235,195,50,0.4545,0.5021,0.9086
236,190,50,0.4544,0.5021,0.9060
237,197,50,0.4589,0.5021,0.9081
238,194,50,0.4609,0.5021,0.9076
239,191,50,0.4636,0.5021,0.9076
240,198,50,0.4617,0.5021,0.9083
241,199,50,0.4608,0.5021,0.9108
242,195,50,0.4620,0.5021,0.9091
243,195,50,0.4627,0.5021,0.9071
244,196,50,0.4644,0.5021,0.9051
245,194,50,0.4657,0.5021,0.9046
246,193,50,0.4678,0.5021,0.9016
247,197,50,0.4683,0.5021,0.9029
