tick,pop_boss,pop_worker,avg_nrg_boss,avg_nrg_worker,contracts
186,20,180,7199.5,200.5,98
187,20,180,7179.1,200.0,78
188,20,180,7189.1,200.6,99
189,20,180,7173.3,200.2,82
190,20,180,7173.2,200.4,93
191,20,180,7157.6,200.1,83
192,20,180,7154.9,200.2,92
193,20,180,7144.1,200.1,87
194,20,180,7135.8,200.0,89
195,20,180,7128.4,200.0,90
196,20,180,7121.8,200.0,91
197,20,180,7116.1,200.0,92
198,20,180,7111.3,200.1,93
199,20,180,7102.9,200.0,91
200,20,180,7094.0,199.9,91
201,20,180,7096.3,200.2,99
202,20,180,7080.1,199.9,87
203,20,180,7075.4,200.0,95
204,20,180,7064.1,199.8,91
205,20,180,7052.3,199.6,91
206,20,180,7056.2,200.0,102
207,20,180,7040.2,199.7,89
208,20,180,7034.1,199.7,96
209,20,180,7020.1,199.5,91
210,20,180,7021.8,199.8,102
211,20,180,7009.6,199.6,93
212,20,180,7007.1,199.8,100
213,20,180,6984.9,199.2,87
214,20,180,6991.9,199.7,107
215,20,180,6965.7,199.0,85
216,20,180,6983.3,199.9,115
217,20,180,6954.4,199.1,84
218,20,180,6972.3,200.0,116
219,20,180,6943.7,199.2,85
220,20,180,6945.8,199.6,106
221,20,180,6932.4,199.3,96
222,20,180,6926.0,199.4,101
223,20,180,6916.1,199.3,99
224,20,180,6901.3,199.0,96
225,20,180,6909.6,199.5,112
226,20,180,6893.5,199.2,96
227,20,180,6893.2,199.4,107
228,20,180,6879.1,199.2,98
229,20,180,6883.6,199.6,111
230,20,180,6868.2,199.3,98
231,20,180,6861.3,199.3,104
232,20,180,6846.5,199.0,99
233,20,180,6843.1,199.1,107
234,20,180,6831.7,199.0,102
235,20,180,6827.2,199.1,107
236,20,180,6823.6,199.2,108
237,20,180,6813.6,199.1,104
238,20,180,6804.5,199.0,105
239,20,180,6806.7,199.3,113
240,20,180,6794.9,199.1,104
241,20,180,6787.1,199.1,107
242,20,180,6778.8,199.1,107
243,20,180,6762.7,198.7,102
244,20,180,6768.3,199.2,117
245,20,180,6736.4,198.2,92
246,20,180,6755.9,199.2,127
247,20,180,6752.2,199.3,112
248,20,180,6731.8,198.8,101
249,20,180,6734.7,199.2,117
250,20,180,6703.1,198.2,94
251,20,180,6714.1,198.9,123
252,20,180,6702.2,198.7,108
253,20,180,6694.2,198.6,111
254,20,180,6694.6,198.9,117
255,20,180,6688.4,198.9,113
256,20,180,6686.0,199.0,116
257,20,180,6669.9,198.7,107
258,20,180,6669.6,198.9,118
259,20,180,6655.5,198.6,109
260,20,180,6645.4,198.5,112
261,20,180,6649.5,198.8,122
262,20,180,6631.0,198.4,107
263,20,180,6634.1,198.7,122
264,20,180,6636.5,199.0,122
265,20,180,6619.1,198.6,109
266,20,180,6607.4,198.4,113
267,20,180,6601.1,198.4,117
268,20,180,6597.3,198.5,119
269,20,180,6595.8,198.7,121
270,20,180,6580.5,198.3,112
271,20,180,6581.0,198.5,123
272,20,180,6577.9,198.6,121
273,20,180,6568.4,198.5,117
274,20,180,6559.9,198.4,118
275,20,180,6551.0,198.3,118
276,20,180,6546.0,198.3,121
277,20,180,6546.3,198.5,125
278,20,180,6531.4,198.2,115
279,20,180,6533.7,198.5,127
280,20,180,6525.1,198.4,120
281,20,180,6508.7,198.0,115
282,20,180,6511.1,198.3,128
283,20,180,6501.1,198.1,120
284,20,180,6499.4,198.2,126
285,20,180,6486.9,198.0,119
286,20,180,6491.6,198.3,131
287,20,180,6482.4,198.2,122
288,20,180,6468.4,197.9,119
289,20,180,6471.7,198.2,131
290,20,180,6461.0,198.0,122
291,20,180,6460.2,198.1,129
292,20,180,6444.2,197.7,119
293,20,180,6445.5,198.0,131
294,20,180,6447.5,198.2,132
295,20,180,6427.0,197.6,117
296,20,180,6429.7,197.9,133
297,20,180,6427.3,198.0,130
298,20,180,6415.5,197.8,124
299,20,180,6406.4,197.6,126
300,20,180,6410.0,197.9,135
301,20,180,6412.8,198.2,135
302,20,180,6395.9,197.7,122
303,20,180,6399.3,198.0,136
304,20,180,6380.1,197.5,121
305,20,180,6388.4,198.0,140
306,20,180,6379.9,197.8,129
307,20,180,6362.2,197.3,123
308,20,180,6367.7,197.7,139
309,20,180,6357.8,197.5,129
310,20,180,6366.4,198.0,142
311,20,180,6340.7,197.2,119
312,20,180,6351.5,197.8,144
313,20,180,6340.9,197.5,130
314,20,180,6337.3,197.6,135
315,20,180,6325.9,197.3,130
316,20,180,6334.5,197.8,144
317,20,180,6324.8,197.6,132
318,20,180,6323.4,197.7,138
319,20,180,6315.6,197.5,134
320,20,180,6304.5,197.3,132
321,20,180,6297.5,197.2,135
322,20,180,6300.2,197.4,142
323,20,180,6305.1,197.7,144
324,20,180,6293.2,197.4,133
325,20,180,6279.5,197.1,132
326,20,180,6287.5,197.5,147
327,20,180,6281.5,197.4,138
328,20,180,6279.3,197.5,141
329,20,180,6267.9,197.2,135
330,20,180,6266.4,197.3,142
331,20,180,6257.0,197.1,137
332,20,180,6250.2,197.0,139
333,20,180,6258.9,197.4,150
334,20,180,6253.7,197.4,141
335,20,180,6245.0,197.2,139
336,20,180,6240.4,197.1,142
337,20,180,6228.0,196.8,137
338,20,180,6237.1,197.3,152
339,20,180,6226.5,197.0,139
340,20,180,6235.8,197.5,153
341,20,180,6219.5,197.0,136
342,20,180,6206.1,196.7,138
343,20,180,6212.8,197.0,152
344,20,180,6211.3,197.1,147
345,20,180,6200.6,196.8,141
346,20,180,6204.0,197.1,151
347,20,180,6198.0,197.0,145
348,20,180,6187.3,196.7,142
349,20,180,6189.3,196.9,151
350,20,180,6181.9,196.7,145
351,20,180,6178.5,196.7,148
352,20,180,6186.1,197.1,156
353,20,180,6176.9,196.9,145
354,20,180,6171.7,196.8,148
355,20,180,6166.1,196.7,148
356,20,180,6151.3,196.3,142
357,20,180,6152.4,196.4,153
358,20,180,6161.4,196.9,159
359,20,180,6163.7,197.1,155
360,20,180,6149.4,196.7,144
361,20,180,6153.7,196.9,157
362,20,180,6141.4,196.6,146
363,20,180,6136.1,196.5,151
364,20,180,6137.6,196.7,156
365,20,180,6128.2,196.4,149
366,20,180,6128.7,196.5,156
367,20,180,6134.3,196.9,160
368,20,180,6133.3,196.9,156
369,20,180,6114.4,196.3,144
370,20,180,6109.9,196.3,154
371,20,180,6112.2,196.4,159
372,20,180,6108.1,196.4,155
373,20,180,6103.4,196.3,155
374,20,180,6112.7,196.8,165
375,20,180,6105.2,196.6,154
376,20,180,6101.6,196.5,157
377,20,180,6093.2,196.3,154
378,20,180,6087.4,196.2,156
379,20,180,6088.4,196.3,161
380,20,180,6090.1,196.5,162
381,20,180,6079.6,196.2,154
382,20,180,6081.9,196.4,163
383,20,180,6083.4,196.5,163
384,20,180,6074.2,196.3,156
385,20,180,6079.1,196.6,166
386,20,180,6070.2,196.3,157
387,20,180,6065.3,196.2,160
388,20,180,6054.3,195.9,156
389,20,180,6048.8,195.8,160
390,20,180,6048.6,195.9,164
391,20,180,6055.0,196.2,169
392,20,180,6060.6,196.5,169
393,20,180,6061.0,196.6,166
394,20,180,6057.8,196.6,164
395,20,180,6054.2,196.5,164
396,20,180,6041.4,196.1,158
397,20,180,6031.3,195.8,160
398,20,180,6025.4,195.7,163
399,20,180,6026.3,195.8,168
400,20,180,6026.5,195.9,168
401,20,180,6026.1,196.0,168
402,20,180,6029.4,196.2,171
403,20,180,6040.5,196.7,177
404,20,180,6036.2,196.6,167
405,20,180,6034.3,196.6,169
406,20,180,6029.0,196.5,167
407,20,180,6023.3,196.3,167
408,20,180,6014.3,196.1,165
409,20,180,6016.5,196.2,173
410,20,180,6016.6,196.3,172
411,20,180,6017.5,196.4,173
412,20,180,6004.8,196.0,164
413,20,180,6009.2,196.3,176
414,20,180,6010.0,196.4,174
415,20,180,6010.1,196.5,174
416,20,180,6013.9,196.7,177
417,20,180,6008.2,196.5,171
418,20,180,6003.6,196.4,172
419,20,180,6002.9,196.5,175
420,20,180,6004.5,196.6,177
421,20,180,6001.1,196.6,174
422,20,180,6000.0,196.6,176
423,20,180,5992.7,196.4,172
424,20,180,5993.6,196.5,178
425,20,180,5991.0,196.5,176
426,20,180,5989.3,196.5,177
427,20,180,5988.5,196.5,178
428,20,180,5981.4,196.3,174
429,20,180,5979.7,196.3,178
430,20,180,5980.3,196.4,180
431,20,180,5977.4,196.4,178
432,20,180,5975.4,196.4,179
433,20,180,5971.4,196.3,178
434,20,180,5969.9,196.3,180
435,20,180,5964.9,196.2,178
436,20,180,5958.1,196.0,177
437,20,180,5955.3,196.0,180
438,20,180,5950.5,195.8,179
439,20,180,5942.5,195.6,177
440,20,180,5938.5,195.5,180
441,20,180,5934.0,195.4,180
442,20,180,5929.2,195.3,180
443,20,180,5923.9,195.2,180
444,20,180,5918.2,195.0,180
445,20,180,5912.2,194.9,180
446,20,180,5905.8,194.7,180
447,20,180,5899.1,194.5,180
448,20,180,5892.1,194.3,180
449,20,180,5884.7,194.1,180
450,20,180,5877.1,193.9,180
451,20,180,5869.2,193.6,180
452,20,180,5861.1,193.4,180
453,20,180,5852.7,193.1,180
454,20,180,5844.1,192.9,180
455,20,180,5835.2,192.6,180
456,20,180,5826.2,192.3,180
457,20,180,5816.9,192.1,180
458,20,180,5807.5,191.8,180
459,20,180,5797.9,191.5,180
460,20,180,5788.1,191.2,180
461,20,180,5778.1,190.8,180
