tick,pop_ancient,pop_primitive,avg_nrg_ancient,avg_nrg_prim
355,186,14,585.9,627.9
356,186,14,611.2,642.2
357,186,14,649.2,590.9
358,186,14,623.3,543.5
359,186,14,607.1,564.0
360,186,14,580.0,550.6
361,186,14,555.2,570.3
362,186,14,554.1,620.4
363,186,14,565.0,634.7
364,186,14,596.8,611.8
365,186,14,623.3,590.6
366,186,14,636.9,606.7
367,186,14,633.4,557.1
368,186,14,617.9,543.4
369,186,14,589.1,530.8
370,186,14,553.0,583.3
371,186,14,555.3,563.6
372,186,14,557.8,573.9
373,186,14,581.8,618.9
374,186,14,605.5,631.9
375,186,14,622.1,575.8
376,186,14,622.9,559.9
377,186,14,599.6,577.2
378,186,14,585.6,528.7
379,186,14,546.0,580.5
380,186,14,546.2,595.7
381,186,14,555.4,538.0
382,186,14,570.2,588.6
383,186,14,589.2,667.0
384,186,14,628.3,610.4
385,186,14,624.9,558.4
386,186,14,608.1,542.8
387,186,14,578.0,592.7
388,186,14,552.7,606.0
389,186,14,548.4,585.9
390,186,14,556.4,595.9
391,186,14,570.5,608.5
392,186,14,595.8,555.6
393,186,14,616.2,535.6
394,186,14,615.5,552.9
395,186,14,597.4,569.0
396,186,14,576.8,547.8
397,186,14,552.8,560.4
398,186,14,567.2,603.9
399,186,14,582.1,614.9
400,186,14,588.8,624.8
401,186,14,616.6,565.8
402,186,14,629.6,579.7
403,186,14,607.2,592.6
404,186,14,584.2,572.1
405,186,14,573.6,585.3
406,186,14,563.6,629.3
407,186,14,572.8,605.0
408,186,14,583.8,647.0
409,186,14,618.8,585.1
410,186,14,633.5,532.1
411,186,14,612.3,512.3
412,186,14,590.8,562.1
413,186,14,570.5,639.3
414,186,14,562.4,645.5
415,186,14,556.0,618.8
416,186,14,565.4,594.3
417,186,14,619.2,572.0
418,186,14,625.0,583.6
419,186,14,613.2,526.2
420,186,14,595.7,538.2
421,186,14,574.5,552.5
422,186,14,565.0,629.7
423,186,14,568.1,635.7
424,186,14,558.8,608.7
425,186,14,595.3,548.4
426,186,14,605.0,557.9
427,186,14,608.5,534.1
428,186,14,584.2,512.4
429,186,14,564.1,560.5
430,186,14,568.1,532.5
431,186,14,562.9,578.3
432,186,14,570.2,619.8
433,186,14,586.5,593.3
434,186,14,600.8,533.4
435,186,14,606.1,546.9
436,186,14,594.2,558.9
437,186,14,579.0,569.6
438,186,14,562.1,643.5
439,186,14,563.6,613.7
440,186,14,557.6,583.0
441,186,14,598.2,590.8
442,186,14,603.4,598.1
443,186,14,598.3,540.3
444,186,14,588.7,616.4
445,186,14,582.1,620.7
446,186,14,566.5,624.4
447,186,14,573.9,627.6
448,186,14,601.6,566.1
449,186,14,602.6,571.1
450,186,14,606.0,547.3
451,186,14,606.8,557.8
452,186,14,583.5,563.5
453,186,14,576.4,568.5
454,186,14,562.8,608.6
455,186,14,564.4,548.1
456,186,14,587.5,525.6
