tick,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
1,0,0,107.39270108579537,100.51193800079174
2,0,0,110.42800947050495,102.22336406358268
3,0,0,114.9102825468298,103.53307870031084
4,0,0,117.01180474003318,105.64148362240226
5,0,0,123.46122541104336,106.5477801395716
6,0,0,132.80419666138252,106.65317036022377
7,0,0,136.9058221776065,108.35845519065529
8,0,0,145.35334606831427,108.86203473625638
9,0,0,153.7924224351313,109.36511070231185
10,0,0,156.04554792551502,111.46768359240129
11,0,0,165.54642029040835,111.56815390960061
12,0,0,174.44650640166455,112.06852375648276
13,0,0,181.33921306534128,111.368393233518
14,0,0,186.00590273305022,112.26896284107623
15,0,0,195.02486903219094,112.7686318790269
16,0,0,204.0700424646476,113.66780124793961
17,0,0,211.40356227054463,114.5660714474834
18,0,0,220.04487873021722,115.86344337682766
19,1,0,229.17165073826163,116.35951793424256
20,4,0,234.84877621441956,118.45509641710007
21,4,0,242.28599761380332,120.1485793214747
22,4,0,251.45377372359582,121.44036874294497
23,5,0,258.8151753959267,122.73086637499375
24,5,0,264.4598954320657,124.4200735094105
25,5,0,267.20475497292387,126.10759143669283
26,5,0,270.9387616398007,128.19342184604787
27,5,0,275.9359982434111,130.27716642499357
28,6,0,282.6674726155967,131.9588272593603
29,6,0,290.0658618378451,133.2388064328927
30,8,0,296.54911091158283,136.11750562725155
31,9,0,300.54973875020085,138.19332612241604
32,9,0,305.7702227569568,140.66707079708536
33,9,0,307.3571366837765,143.13834172708
34,10,0,310.86197227286385,145.60714138614466
35,10,0,313.7854998451253,148.62575486914352
36,10,0,317.8735096441547,150.84134973865937
37,10,0,321.9704344055627,152.6547290133057
38,10,0,323.6922651872579,155.11401228508416
39,10,0,325.77319018497536,157.3231188971841
40,10,0,326.8721592248856,160.08300565788636
41,10,0,328.5887223448246,163.24013253182795
42,10,0,329.8808444701529,167.02253590855173
43,12,0,333.32751417138235,169.8488742583055
44,14,0,334.97397568133255,172.0246688933028
45,14,0,337.42155976636735,176.56259138734757
46,16,0,340.2443022027108,179.4959759588983
47,16,0,341.73993825285476,184.0717268978867
48,16,0,342.9189024891085,187.04290208593608
49,16,0,344.76559944435985,188.9826724691413
50,16,0,345.9742784485819,193.9489367116194
51,16,1,347.2180084645676,199.42113646205453
52,16,1,347.8246534113167,205.8751285636523
53,16,1,348.30856652819205,210.3687335393255
54,16,2,347.77701454582746,216.2818015487098
55,16,3,350.8087315923116,220.0746660497769
56,16,3,353.29944818905994,226.81690462888398
57,16,3,353.49081700397255,232.00901905407565
58,16,3,353.45971231576675,237.24616894093472
