tick,old_money,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
223,10,25,17,570.6589520318977,337.3254012208528
224,10,25,18,566.9916013116075,337.19277863554487
225,10,25,20,563.8293404905181,337.22128916431467
226,10,25,19,560.1700332563138,336.3923332754747
227,10,25,17,556.5160626901428,335.75736503726887
228,10,25,18,552.8675508290886,337.004102785416
229,10,25,16,549.2246188311042,336.00666236677927
230,10,25,19,545.5873869692938,337.1932699572123
231,10,25,18,541.9559746263085,337.07433736956085
232,10,25,20,538.3305002888552,336.2135876746771
233,10,25,20,534.711081542322,336.2598906719619
234,10,25,17,531.5978350655166,335.12311050374524
235,10,25,20,527.9885266255216,336.9723244911061
236,10,25,18,524.3856221646619,338.2790702684852
237,10,25,19,520.7892357004141,337.50800100677964
238,10,25,19,517.199480323293,336.95409598812154
239,10,25,18,513.6164681921604,337.0893516705179
240,10,25,19,510.04031052965075,336.53973887815107
241,10,25,18,506.47111761771066,336.2280563009585
242,10,25,19,502.9089987932537,336.23275905498144
243,10,25,19,499.3540624439313,337.55210771372344
244,10,25,18,495.8064160040177,337.0498384317495
245,10,25,17,492.76616595041077,337.2927206379302
246,10,25,18,489.2309577987475,335.57715405374927
247,10,25,18,485.7033582520345,336.45247761064314
248,10,25,19,482.1834709799172,335.52145184913894
249,10,25,17,478.67139867925,333.6734510510998
250,10,25,19,475.16724307066653,336.8713091690183
251,10,25,20,490.1711048952646,337.3680702088848
252,10,25,20,486.58984391140524,336.57788622927967
253,10,25,17,483.5169006860263,335.6381006677041
254,10,25,17,479.9498362153541,334.81216507071815
255,10,25,18,476.3912934354685,334.9868066499632
256,10,25,18,472.84137139789175,335.5561505737899
257,10,25,20,469.30016813371935,337.5084428604088
258,10,25,19,466.26778065096215,337.80021039742655
259,10,25,19,463.24171493200294,336.2126429398866
260,10,25,20,459.7220593991693,337.15479469323293
261,10,25,19,456.2115116339184,335.6638278723744
262,10,25,17,452.71016469776947,336.15662119659464
263,10,25,20,449.218110616272,337.1564538035159
264,10,25,19,445.73544037703084,337.43142072007333
265,10,25,19,442.26224392784536,337.655113134893
266,10,25,20,438.79861017496205,336.4712467805427
267,10,24,20,471.3446269814405,335.5932921516601
