tick,pop_patron,pop_client,avg_nrg_patron,avg_nrg_client,donations
198,20,180,464.8,61.6,3
199,20,180,464.7,60.8,4
200,20,180,464.6,60.0,4
201,20,180,469.3,58.7,2
202,20,180,464.0,58.5,6
203,20,180,463.8,57.8,4
204,20,180,463.4,57.0,4
205,20,180,463.1,56.3,4
206,20,180,467.6,55.0,2
207,20,180,467.0,54.3,4
208,20,180,464.0,53.9,5
209,20,180,461.0,53.5,5
210,20,180,462.9,52.5,3
211,20,180,467.2,51.3,2
212,20,180,471.3,50.1,2
213,20,180,463.0,50.3,7
214,20,180,459.8,49.9,5
215,20,180,466.4,48.4,1
216,20,180,463.0,48.1,5
217,20,180,469.4,46.7,1
218,20,180,463.4,46.6,6
219,20,180,462.4,46.0,4
220,20,180,461.3,45.4,4
221,20,180,462.7,44.6,3
222,20,180,466.5,43.5,2
223,20,180,470.1,42.4,2
224,20,180,461.3,42.7,7
225,20,180,460.1,42.2,4
226,20,180,463.7,41.1,2
227,20,180,462.3,40.6,4
228,20,180,468.2,39.3,1
229,20,180,471.4,38.3,2
230,20,180,462.4,38.6,7
231,20,180,458.4,38.4,5
232,20,180,464.2,37.2,1
233,20,180,462.5,36.7,4
234,20,180,468.1,35.5,1
235,20,180,471.1,34.5,2
236,20,180,461.7,35.0,7
237,20,180,457.5,34.8,5
238,20,180,463.0,33.6,1
239,20,180,461.0,33.2,4
240,20,180,466.4,32.1,1
241,20,180,469.1,31.2,2
242,20,180,459.6,31.7,7
243,20,180,462.4,30.8,2
244,20,180,460.2,30.5,4
245,20,180,460.5,29.9,3
246,20,180,463.1,29.0,2
247,20,180,468.1,27.9,1
248,20,180,465.6,27.7,4
249,20,179,460.6,27.8,5
250,21,179,458.8,27.6,4
251,21,179,461.9,26.8,2
252,21,179,462.6,26.2,3
253,21,179,465.5,25.5,2
254,21,179,468.4,24.7,2
255,21,179,464.1,24.8,5
256,21,179,459.9,24.8,5
257,21,179,458.1,24.6,4
258,21,179,463.3,23.6,1
259,21,179,461.3,23.4,4
260,21,179,466.3,22.4,1
261,21,177,468.8,22.0,2
262,23,177,462.6,22.4,6
263,23,177,459.9,22.5,5
264,23,177,459.5,22.4,4
265,23,177,459.0,22.2,4
266,23,175,460.6,22.1,3
267,25,173,466.6,21.4,1
268,27,171,461.9,22.4,7
269,29,169,464.1,22.5,4
270,31,168,465.5,22.8,5
271,32,168,467.7,23.0,5
272,32,167,465.5,24.2,8
273,33,165,468.0,24.6,5
274,35,164,462.4,26.7,11
275,36,161,463.5,27.9,7
276,39,161,462.7,29.2,9
277,39,160,461.4,30.9,10
278,40,160,466.4,30.9,5
279,40,159,467.9,32.0,8
280,41,159,464.5,34.2,12
281,41,158,465.1,35.5,9
282,42,158,461.2,37.9,13
283,42,158,462.3,38.9,9
284,42,157,464.5,39.9,8
285,43,157,465.5,40.8,9
286,43,157,465.7,42.1,10
287,43,157,470.3,42.1,6
288,43,157,465.8,44.6,14
289,43,157,468.1,45.1,8
290,43,157,470.4,45.6,8
291,43,157,463.5,48.6,16
292,43,157,465.8,49.0,8
293,43,157,468.1,49.3,8
294,43,157,466.9,50.6,11
295,43,157,467.9,51.3,9
296,43,157,471.2,51.3,7
297,43,157,466.4,53.4,14
298,43,157,468.6,53.6,8
299,43,157,469.5,54.2,9
300,43,157,464.8,56.2,14
301,43,157,465.8,56.6,9
302,43,157,467.9,56.7,8
303,43,157,466.5,57.8,11
304,43,157,467.3,58.1,9
305,43,157,470.5,57.9,7
306,43,157,468.9,58.8,11
307,43,157,467.4,59.8,11
308,43,157,470.4,59.4,7
309,43,157,467.7,60.6,12
310,43,157,467.3,61.2,10
311,43,157,468.0,61.4,9
312,43,157,465.2,62.5,12
313,43,157,467.1,62.4,8
314,43,157,468.9,62.2,8
315,43,157,467.1,63.0,11
316,43,157,468.8,62.8,8
317,43,157,470.5,62.7,8
318,43,157,466.4,64.0,13
319,43,157,466.9,64.1,9
320,43,157,469.6,63.5,7
321,43,157,468.8,63.9,10
322,43,157,464.6,65.2,13
323,43,157,465.0,65.2,9
324,43,157,464.2,65.5,10
325,43,157,465.7,65.2,8
326,43,157,464.8,65.5,10
327,43,157,465.0,65.5,9
328,43,157,466.3,65.2,8
329,43,157,466.4,65.1,9
330,43,157,467.5,64.8,8
331,43,157,465.2,65.4,11
332,43,157,466.4,65.0,8
333,43,157,466.2,65.0,9
334,43,157,467.2,64.6,8
335,43,157,463.6,65.5,12
336,43,157,465.8,64.8,7
337,43,157,464.4,65.0,10
338,43,157,464.1,64.9,9
339,43,157,465.0,64.5,8
340,43,157,463.5,64.7,10
341,43,157,464.2,64.3,8
342,43,157,467.1,63.3,6
343,43,157,464.2,63.9,11
344,43,157,464.8,63.5,8
345,43,157,467.6,62.5,6
346,43,157,469.1,61.8,7
347,43,157,462.5,63.3,14
348,43,157,464.1,62.6,7
349,43,157,470.1,60.7,3
350,43,157,466.8,61.3,11
351,43,157,465.9,61.3,9
352,43,157,467.2,60.6,7
353,43,157,463.9,61.2,11
354,43,157,461.8,61.4,10
355,43,157,465.3,60.1,5
356,43,157,465.3,59.8,8
357,43,157,463.0,60.1,10
358,43,157,464.1,59.4,7
359,43,157,466.2,58.5,6
360,43,157,462.6,59.1,11
361,43,157,464.6,58.1,6
362,43,157,467.8,56.9,5
363,43,157,466.2,56.9,9
364,43,157,464.6,57.0,9
365,43,157,467.6,55.8,5
366,43,157,467.0,55.5,8
367,43,157,465.2,55.6,9
368,43,157,468.0,54.4,5
369,43,157,469.5,53.6,6
370,43,157,466.5,54.0,10
371,43,157,464.6,54.1,9
372,43,157,466.1,53.3,6
373,43,157,465.2,53.1,8
374,43,157,464.3,52.9,8
375,43,157,466.8,51.8,5
376,43,157,469.1,50.7,5
377,43,157,470.3,50.0,6
378,43,157,466.8,50.5,10
379,43,157,465.6,50.4,8
380,43,157,466.7,49.7,6
381,43,157,465.4,49.6,8
382,43,157,468.6,48.3,4
383,43,157,466.1,48.5,9
384,43,157,465.9,48.1,7
385,43,157,466.7,47.5,6
386,43,157,464.1,47.7,9
387,43,157,468.3,46.1,3
388,43,157,463.2,47.1,11
389,43,157,467.3,45.5,3
390,43,157,466.7,45.2,7
391,43,157,467.2,44.6,6
392,43,157,466.5,44.4,7
393,43,157,464.6,44.4,8
394,43,157,467.3,43.2,4
395,43,157,468.7,42.4,5
396,43,157,467.8,42.2,7
397,43,157,466.8,42.0,7
398,43,157,469.3,40.9,4
399,43,157,468.2,40.7,7
400,43,157,463.6,41.5,10
401,43,157,468.3,39.8,2
402,43,157,469.4,39.1,5
403,43,157,468.1,39.0,7
404,43,157,463.4,39.8,10
405,43,157,465.5,38.8,4
406,43,157,469.9,37.1,2
407,43,157,465.0,38.0,10
408,43,157,463.6,38.0,7
409,43,157,465.6,37.0,4
410,43,157,470.9,35.1,1
411,43,157,463.6,36.7,12
412,43,157,463.1,36.3,6
413,43,157,463.8,35.7,5
414,43,157,469.0,33.9,1
415,43,157,462.7,35.2,11
416,43,157,462.1,34.9,6
417,43,157,462.6,34.3,5
418,43,157,467.7,32.5,1
419,43,157,462.4,33.6,10
420,43,157,460.5,33.6,7
421,43,157,460.9,33.1,5
422,43,156,465.8,31.5,1
423,44,156,462.8,32.0,8
424,44,156,457.8,33.0,10
425,44,156,459.6,32.2,4
426,44,156,463.6,30.8,2
427,44,156,463.0,30.7,6
428,44,156,455.6,32.4,12
429,44,156,456.2,31.9,5
430,44,156,462.3,29.8,0
431,44,156,460.4,30.0,7
432,44,156,455.2,31.2,10
433,44,155,454.5,31.2,6
434,45,155,459.6,29.5,1
435,45,155,459.2,29.4,6
436,45,155,454.3,30.6,10
437,45,155,451.7,31.0,8
438,45,155,455.7,29.6,2
439,45,155,458.4,28.6,3
440,45,154,456.8,29.0,7
441,46,154,451.0,30.5,11
442,46,154,453.0,29.7,4
443,46,154,453.9,29.3,5
444,46,154,454.7,28.9,5
445,46,154,452.2,29.5,8
446,46,153,450.9,29.9,7
447,47,152,453.0,29.3,4
448,48,152,454.3,28.9,5
449,48,152,453.6,29.2,7
450,48,152,445.7,31.6,14
451,48,152,450.2,30.1,2
452,48,152,450.5,30.0,6
453,48,152,451.8,29.5,5
454,48,152,450.9,29.8,7
455,48,152,446.0,31.2,11
456,48,152,447.3,30.7,5
457,48,152,450.5,29.6,3
458,48,152,450.6,29.4,6
459,48,151,446.6,30.8,10
460,49,151,445.1,31.2,8
461,49,151,446.6,30.7,5
462,49,151,449.0,29.9,4
463,49,151,448.3,30.1,7
464,49,151,445.6,30.9,9
465,49,151,443.9,31.3,8
466,49,151,445.3,30.8,5
467,49,151,446.5,30.2,5
468,49,151,447.8,29.8,5
469,49,151,443.9,30.9,10
470,49,150,441.1,31.8,9
471,50,150,443.9,30.9,4
472,50,150,443.4,31.0,7
473,50,150,445.9,30.2,4
474,50,150,440.4,31.9,12
475,50,150,438.9,32.3,8
476,50,150,442.4,31.0,3
477,50,150,442.8,30.8,6
478,50,150,442.1,30.9,7
479,50,150,440.5,31.3,8
480,50,150,437.9,32.0,9
481,50,150,437.3,32.0,7
482,50,150,440.5,30.8,3
483,50,150,439.8,30.8,7
484,50,150,436.1,31.9,10
485,50,150,438.3,30.9,4
486,50,150,437.6,31.0,7
487,50,150,435.8,31.4,8
488,50,150,438.9,30.1,3
489,50,150,437.0,30.5,8
490,50,150,435.2,30.9,8
491,50,150,435.3,30.6,6
492,50,150,436.3,30.1,5
493,50,150,436.4,29.8,6
494,50,150,435.4,29.9,7
495,50,150,433.4,30.3,8
496,50,150,434.4,29.7,5
497,50,150,434.3,29.5,6
498,50,150,434.2,29.3,6
499,50,149,435.1,28.9,5
500,51,149,431.8,30.0,10
501,51,149,431.0,30.1,7
502,51,149,433.1,29.2,4
503,51,149,432.3,29.3,7
504,51,149,432.4,29.1,6
505,51,149,435.3,27.9,3
506,51,149,429.5,29.7,12
507,51,149,426.7,30.4,9
508,51,148,431.6,28.7,1
509,52,148,432.3,28.5,6
510,52,148,430.6,29.0,8
511,52,148,432.8,28.1,4
512,52,148,430.1,28.9,9
513,52,148,425.6,30.3,11
514,52,147,429.6,28.9,2
515,53,147,429.6,29.0,7
516,53,147,428.1,29.4,8
517,53,147,431.3,28.2,3
518,53,147,428.0,29.3,10
519,53,147,425.6,30.1,9
520,53,147,426.9,29.5,5
521,53,147,429.1,28.6,4
522,53,147,428.4,28.7,7
523,53,147,427.7,28.8,7
524,53,147,427.0,28.9,7
525,53,145,425.4,29.7,8
526,55,145,427.1,29.4,6
527,55,145,425.2,30.1,9
528,55,145,426.9,29.5,5
529,55,145,427.6,29.3,6
530,55,145,425.6,30.0,9
531,55,145,426.2,29.7,6
532,55,145,426.9,29.4,6
533,55,145,424.8,30.1,9
534,55,145,427.2,29.2,4
535,55,144,426.8,29.5,7
536,56,144,426.3,29.9,8
537,56,144,425.4,30.2,8
538,56,144,422.7,31.2,10
539,56,143,422.6,31.4,7
540,57,143,426.8,30.0,3
541,57,143,423.4,31.4,11
542,57,143,424.4,31.0,6
543,57,143,427.1,30.0,4
544,57,143,424.5,31.0,10
545,57,143,423.7,31.3,8
546,57,143,422.8,31.6,8
547,57,143,423.7,31.2,6
548,57,143,422.8,31.5,8
549,57,143,422.7,31.4,7
550,57,143,423.5,31.0,6
551,57,143,423.4,31.0,7
552,57,143,421.5,31.6,9
553,57,143,422.2,31.1,6
554,57,142,420.3,32.0,9
555,58,142,422.7,31.2,5
556,58,142,420.2,32.1,10
557,58,142,421.1,31.7,6
558,58,142,421.1,31.6,7
559,58,142,421.1,31.5,7
560,58,142,422.7,30.7,5
561,58,142,420.9,31.3,9
562,58,142,418.3,32.2,10
563,58,142,419.9,31.4,5
564,58,142,419.8,31.3,7
565,58,142,418.8,31.6,8
566,58,142,419.4,31.1,6
567,58,142,421.8,30.0,4
568,58,142,419.8,30.6,9
569,58,142,418.6,30.9,8
570,58,142,420.0,30.1,5
571,58,142,417.1,31.1,10
572,58,142,415.1,31.6,9
573,58,142,415.6,31.2,6
574,58,142,417.8,30.0,4
575,58,142,416.6,30.3,8
576,58,142,415.3,30.6,8
577,58,142,419.9,28.5,1
578,58,142,421.0,27.8,5
579,58,142,415.3,29.9,13
580,58,142,418.1,28.5,3
581,58,142,415.0,29.5,10
582,58,142,413.5,29.8,8
583,58,142,413.8,29.4,6
584,58,142,413.2,29.3,7
585,58,142,413.4,28.9,6
586,58,142,415.2,27.9,4
587,58,141,415.3,27.8,6
588,59,141,414.5,28.2,8
589,59,141,417.3,26.9,3
590,59,141,415.9,27.3,8
591,59,141,413.6,28.0,9
592,59,141,413.0,28.0,7
593,59,141,412.4,28.1,7
594,59,141,410.1,28.7,9
595,59,141,410.4,28.4,6
596,59,140,411.4,27.9,5
597,60,140,411.6,27.9,7
598,60,140,412.8,27.3,5
599,60,140,414.8,26.3,4
600,60,140,413.4,26.8,8
601,60,139,413.6,26.7,6
602,61,139,416.3,25.8,4
603,61,139,415.1,26.3,8
604,61,139,414.7,26.4,7
605,61,139,411.0,27.9,11
606,61,139,412.2,27.2,5
607,61,139,412.6,26.9,6
608,61,139,412.9,26.7,6
609,61,139,410.0,27.8,10
