tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_pred_mut
151,194,50,0.4810,0.5070,0.8314
152,197,50,0.4832,0.5070,0.8314
153,196,50,0.4847,0.5070,0.8314
154,194,50,0.4860,0.5070,0.8314
155,193,50,0.4812,0.5070,0.8314
156,193,50,0.4798,0.5070,0.8314
157,195,50,0.4809,0.5070,0.8314
158,194,50,0.4818,0.5070,0.8314
159,193,50,0.4804,0.5070,0.8314
160,198,50,0.4816,0.5070,0.8314
161,196,50,0.4850,0.5070,0.8314
162,192,50,0.4852,0.5070,0.8314
163,192,50,0.4912,0.5070,0.8314
164,197,50,0.4892,0.5070,0.8314
165,195,50,0.4878,0.5070,0.8314
166,195,50,0.4869,0.5070,0.8314
167,195,50,0.4888,0.5070,0.8314
168,193,50,0.4867,0.5070,0.8314
169,196,50,0.4852,0.5070,0.8314
170,198,50,0.4873,0.5070,0.8314
171,195,50,0.4887,0.5070,0.8314
172,194,50,0.4862,0.5070,0.8314
173,197,50,0.4816,0.5070,0.8314
174,194,50,0.4775,0.5070,0.8314
175,189,50,0.4796,0.5070,0.8314
176,193,50,0.4774,0.5070,0.8314
177,198,50,0.4747,0.5070,0.8314
178,195,50,0.4739,0.5070,0.8314
179,199,50,0.4745,0.5070,0.8314
180,192,50,0.4759,0.5070,0.8314
181,197,50,0.4767,0.5070,0.8314
182,197,50,0.4779,0.5070,0.8314
183,194,50,0.4748,0.5070,0.8314
184,194,50,0.4772,0.5070,0.8314
185,194,50,0.4796,0.5070,0.8314
186,192,50,0.4777,0.5070,0.8314
187,199,50,0.4780,0.5070,0.8314
188,188,50,0.4790,0.5070,0.8314
189,195,50,0.4799,0.5070,0.8314
190,197,50,0.4795,0.5070,0.8314
191,196,50,0.4789,0.5070,0.8314
192,197,50,0.4783,0.5070,0.8314
193,196,50,0.4775,0.5070,0.8314
194,194,50,0.4745,0.5070,0.8314
195,196,50,0.4749,0.5070,0.8314
196,194,50,0.4725,0.5070,0.8314
197,196,50,0.4769,0.5070,0.8314
198,195,50,0.4782,0.5070,0.8314
199,194,50,0.4767,0.5070,0.8314
200,196,50,0.4794,0.5070,0.8314
201,194,50,0.4777,0.5070,0.8314
202,192,50,0.4771,0.5070,0.8314
203,196,50,0.4773,0.5070,0.8314
204,195,50,0.4765,0.5070,0.8314
205,190,50,0.4708,0.5070,0.8314
206,196,50,0.4691,0.5070,0.8314
207,198,50,0.4676,0.5070,0.8314
208,195,50,0.4707,0.5070,0.8314
209,191,50,0.4743,0.5070,0.8314
210,195,50,0.4704,0.5070,0.8314
211,197,50,0.4720,0.5070,0.8314
212,193,50,0.4735,0.5070,0.8314
213,194,50,0.4749,0.5070,0.8314
214,196,50,0.4771,0.5070,0.8314
215,193,50,0.4776,0.5070,0.8314
216,197,50,0.4796,0.5070,0.8314
217,192,50,0.4789,0.5070,0.8314
218,193,50,0.4826,0.5070,0.8314
219,194,50,0.4845,0.5070,0.8314
220,195,50,0.4871,0.5070,0.8314
221,196,50,0.4891,0.5070,0.8314
222,197,50,0.4905,0.5070,0.8314
223,196,50,0.4923,0.5070,0.8314
224,198,50,0.4899,0.5070,0.8314
225,192,50,0.4885,0.5070,0.8314
226,198,50,0.4911,0.5070,0.8314
227,193,50,0.4910,0.5070,0.8314
228,195,50,0.4953,0.5070,0.8314
229,190,50,0.5000,0.5070,0.8314
230,195,50,0.4994,0.5070,0.8314
231,198,50,0.4992,0.5070,0.8314
232,197,50,0.4988,0.5070,0.8314
233,195,50,0.4981,0.5070,0.8314
234,196,50,0.5003,0.5070,0.8314
235,195,50,0.5008,0.5070,0.8314
236,193,50,0.5048,0.5070,0.8314
237,197,50,0.5101,0.5070,0.8314
238,194,50,0.5099,0.5070,0.8314
239,198,50,0.5105,0.5070,0.8314
240,195,50,0.5104,0.5070,0.8314
241,197,50,0.5083,0.5070,0.8314
242,192,50,0.5080,0.5070,0.8314
