tick,avg_dist_similar_phase,avg_dist_dissimilar_phase
10,56.7431810507974,56.28744930465148
20,56.7431810507974,56.28744930465148
30,56.7431810507974,56.28744930465148
40,56.7431810507974,56.28744930465148
50,56.7431810507974,56.28744930465148
60,56.7431810507974,56.28744930465148
70,56.7431810507974,56.28744930465148
80,56.7431810507974,56.28744930465148
90,56.7431810507974,56.28744930465148
100,56.42461977501705,57.78254411282708
110,60.932673359294824,60.697567448947424
120,63.044062653449785,51.41981337734892
130,63.074588936619335,52.900890985588035
140,63.074588936619335,52.900890985588035
150,63.074588936619335,52.900890985588035
160,63.074588936619335,52.900890985588035
170,63.074588936619335,52.900890985588035
180,63.074588936619335,52.900890985588035
190,62.67918508320743,52.900890985588035
200,62.67918508320743,52.900890985588035
