Experimental_Cycle,Composition_Frequency_Pct,Random_Seed,Composition_Threshold,Maximum_Agent_Count,Initial_Agent_Count,Mean_Composition_Events,Bistable_Basin_Classification,Spawn_Accuracy_Percent,actual_freq_pct,actual_spawns,agent_count_mean,agent_count_std,avg_agent_count,avg_cycle_time_ms,avg_cycles_per_sec,basin_classifications,basin_threshold,composition_mean,cycles,cycles_completed,cycles_per_sec,cycles_per_second,database_condition,decomposition_mean,dist_A,dist_B,diversity,dominant,dominant_fraction,duration,elapsed_seconds,expected_spawns,fft_analysis,fft_peak_count_agents,fft_peak_count_composition,fft_peak_count_decomposition,fft_top_freqs_agents,fft_top_freqs_composition,fft_top_freqs_decomposition,fft_top_powers_agents,fft_top_powers_composition,fft_top_powers_decomposition,final_agent_count,final_agents,final_db_size_mb,final_memory_mb,fraction,initial_db_size_mb,initial_memory_mb,max_composition_events,memory_increase_mb,mult,peak_agents,protocol,runtime,spawn_count,spawn_freq_pct,spawn_interval_cycles,spawning_freq,spread
133,,,500,,,,B,,,,,,,,,,,,,,141.0980196171912,,,,0.2841218542263161,0.15530684219956326,0.1,"[6.220353, 5.992508, 6.254199]",,21.261815071105957,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,0.1
133,,,500,,,,B,,,,,,,,,,,,,,139.63246963338747,,,,0.3146114354771612,0.15177138792275707,0.15,"[6.188938, 5.965325, 6.238019]",,21.484974145889282,,,,,,,,,,,,,,,,,1.0,,,,,1.4999999999999998,,,,,,,,0.1
133,,,500,,,,B,,,,,,,,,,,,,,137.11067849033975,,,,0.3839480059422108,0.1810759798151039,0.25,"[6.126106, 5.91096, 6.205658]",,21.880133867263794,,,,,,,,,,,,,,,,,1.0,,,,,2.5,,,,,,,,0.1
133,,,500,,,,B,,,,,,,,,,,,,,137.58976173677962,,,,0.36636322450131364,0.15216116422398934,0.35,"[6.09469, 5.93184, 6.259974]",,21.803947925567627,,,,,,,,,,,,,,,,,1.0,,,,,3.4999999999999996,,,,,,,,0.1
133,,,500,,,,B,,,,,,,,,,,,,,137.18276780941704,,,,0.36546673750288194,0.35644735767010577,0.45,"[6.220353, 6.177038, 5.929817]",,21.868635892868042,,,,,,,,,,,,,,,,,1.0,,,,,4.5,,,,,,,,0.1
133,,,600,,,,B,,,,,,,,,,,,,,120.32218419329521,,,,0.2486899348405559,0.1797755937551035,0.03,"[6.264336, 6.030564, 6.276852]",,24.93305802345276,,,,,,,,,,,,,,,,,1.0,,,,,0.3,,,,,,,,0.1
133,,,600,,,,B,,,,,,,,,,,,,,121.14997014459888,,,,0.26264613540275017,0.16688665347774165,0.06,"[6.245486, 6.014255, 6.267144]",,24.762696981430054,,,,,,,,,,,,,,,,,1.0,,,,,0.6,,,,,,,,0.1
133,,,600,,,,B,,,,,,,,,,,,,,122.42519041759861,,,,0.2841218542263161,0.15530684219956326,0.1,"[6.220353, 5.992508, 6.254199]",,24.5047607421875,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,0.1
133,,,600,,,,B,,,,,,,,,,,,,,122.56828037545567,,,,0.3146114354771612,0.15177138792275707,0.15,"[6.188938, 5.965325, 6.238019]",,24.476153135299683,,,,,,,,,,,,,,,,,1.0,,,,,1.4999999999999998,,,,,,,,0.1
133,,,600,,,,B,,,,,,,,,,,,,,122.48981252999235,,,,0.3839480059422108,0.1810759798151039,0.25,"[6.126106, 5.91096, 6.205658]",,24.491832733154297,,,,,,,,,,,,,,,,,1.0,,,,,2.5,,,,,,,,0.1
133,,,600,,,,B,,,,,,,,,,,,,,121.90048200967647,,,,0.36636322450131364,0.15216116422398934,0.35,"[6.09469, 5.93184, 6.259974]",,24.610239028930664,,,,,,,,,,,,,,,,,1.0,,,,,3.4999999999999996,,,,,,,,0.1
133,,,600,,,,B,,,,,,,,,,,,,,121.5335835482924,,,,0.3967197753805577,0.24003992665179702,0.45,"[6.220353, 5.8793, 6.257664]",,24.684535026550293,,,,,,,,,,,,,,,,,1.0,,,,,4.5,,,,,,,,0.1
133,,,700,,,,A,,,,,,,,,,,,,,106.14325665816345,,,,0.34475567282062264,0.3947954530044644,0.03,"[6.264336, 6.260026, 5.940233]",,28.263689041137695,,,,,,,,,,,,,,,,,1.0,,,,,0.3,,,,,,,,0.1
